station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,travel_time_source,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_latest_orig,poverty_slope_orig,nearest_station_complex_id,poverty_source,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag
381,Kingsbridge Rd (4),Bronx,5749.886551,8.657109305,False,42.33,0,0.6666662222225186,8.329899292995725,11.466797753326444,1.963344809,2.302585093,2.130627903862842,3.044522437723423,37.75,37.75,1.0,observed_gtfs,3.657130755799356,0,36.32551531,0.284166676,4519.505445,-138.2777243,,,296,nearest_gtfs,1,0,0,1,0
382,Fordham Rd (4),Bronx,6240.195573,8.738927041,False,42.67,0,0.6666662222225186,8.4368504387337,11.520863872271748,1.990690094,2.079441542,2.3808126777436054,3.1354942159291497,36.25,36.25,1.0,observed_gtfs,3.617651944825568,0,8.047234247,-1.332213627,9316.401497,168.9114772,,,297,nearest_gtfs,1,0,0,1,0
383,183 St (4),Bronx,3475.493832,8.153779545,False,43.0,0,0.6666662222225186,8.022896869601457,11.548389129245798,1.981342092,1.791759469,2.2202070345688174,2.995732273553991,34.75,34.75,1.0,observed_gtfs,3.5765502691400166,0,32.5985867,-0.60874452,8877.445857,-58.98369737,,,298,nearest_gtfs,1,0,0,1,0
384,Burnside Av (4),Bronx,6012.663945,8.701789483,False,43.0,0,0.6666662222225186,8.024207485778577,11.531069855406209,1.99861164,2.079441542,2.1370251979733395,2.772588722239781,33.25,33.25,1.0,observed_gtfs,3.5336865647082343,0,32.5985867,-0.60874452,7188.530384,-12.67158624,,,298,nearest_gtfs,1,0,0,1,0
385,176 St (4),Bronx,3295.020864,8.100471221,False,43.67,0,0.6666662222225186,7.877017895622398,11.48615018513324,2.084467121,1.609437912,2.1840854005004857,2.833213344056216,31.25,31.25,1.0,observed_gtfs,3.4735180432417816,0,15.77668782,-0.772409006,6976.015589,-72.67601406,,,300,nearest_gtfs,1,0,0,1,0
386,Mt Eden Av (4),Bronx,3081.630201,8.033538473,False,43.0,0,0.6666662222225186,7.921535632133549,11.483692309699952,2.10712115,0.693147181,2.255358252941428,2.833213344056216,30.25,30.25,1.0,observed_gtfs,3.4420193761824107,0,18.53900886,-1.136179984,5754.092414,14.9709077,,,301,nearest_gtfs,1,0,0,1,0
387,170 St (4),Bronx,4496.430576,8.41126153,False,43.0,0,0.6666662222225186,7.905441649060286,11.519404431067937,2.065993428,1.609437912,2.2173041061609133,2.8903717578961645,28.75,28.75,1.0,observed_gtfs,3.392829131991639,0,18.53900886,-1.136179984,5855.820432,-83.79934833,,,301,nearest_gtfs,1,0,0,1,0
388,167 St (4),Bronx,5606.061139,8.631782,False,43.33,0,0.6666662222225186,8.285261134068948,11.527577596302542,2.047639134,2.079441542,2.2834128159274094,2.833213344056216,26.75,26.75,1.0,observed_gtfs,3.323235840192444,0,30.36343184,-0.798639018,6320.73834,-18.39330532,,,220,nearest_gtfs,1,0,0,1,0
391,"138 St-Grand Concourse (4,5)",Bronx,2618.438921,7.870715422,False,70.67,0,0.999999000001,8.622093601241607,10.643804537572464,2.030236576,2.708050201,2.459182587498732,2.9444389791664403,16.5,16.5,2.0,observed_gtfs,2.862200880929469,0,36.7,0.312237762,1681.560354,57.91650391,36.7,0.312237762,,observed,0,0,0,0,0
417,"Nereid Av (2,5)",Bronx,1891.40566,7.545604135,False,41.33,0,0.6666662222225186,8.038512020976814,10.353671054332557,1.809267699,0.693147181,1.704354382563123,2.079441541679836,55.0,55.75,2.0,observed_gtfs,4.02535169073515,0,36.7,0.312237762,2872.547608,64.85428721,,,,line_fill,1,0,0,0,1
