station_complex_id,station_complex_name,avg_annual_ridership,log_avg_ridership,is_ibx,subway_trips_per_hour_am_peak,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag,poverty_latest,poverty_slope,pop_latest,pop_slope,poverty_imputed_flag,poverty_missing_flag,population_missing_flag,poverty_imputed_nearest_flag,poverty_imputed_line_flag,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,poverty_source_nearest_gtfs,poverty_source_observed,travel_time_source_nearest_station_complex_id,travel_time_source_observed_gtfs
431,"Intervale Av (2,5)",1852.235426,7.524688269,0,65.67,0.999999,8.217168596,11.06157871,2.02871156,2.302585093,2.542232219,2.772588722,30,30,1,3.433987204,0,36.7,0.312237762,5996.271524,107.9481897,1,0,0,0,1,0,0,0,0,0,0,0,1
432,"Prospect Av (2,5)",4109.270138,8.321244032,0,66,0.999999,8.41249912,11.16593207,1.961356802,2.302585093,2.549987364,2.708050201,28.5,28.5,1,3.384390263,0,46.1,-0.51958042,4381.404737,44.32177328,1,0,0,1,0,0,0,0,0,1,0,0,1
433,"Jackson Av (2,5)",3122.304124,8.046646735,0,66,0.999999,8.458292083,11.06513724,2.152677627,2.564949357,2.515672042,2.772588722,27,27,1,3.33220451,0,46.1,-0.51958042,5659.861944,23.13847712,1,0,0,1,0,0,0,0,0,1,0,0,1
434,"3 Av-149 St (2,5)",11628.18874,9.361273487,0,77.67,0.999999,8.930758736,10.98796711,2.062324309,2.302585093,2.503567842,2.890371758,23,23.5,2,3.17805383,0,46.1,-0.51958042,2358.716303,-58.80497851,1,0,0,1,0,0,0,0,0,1,0,0,1
442,Eastchester-Dyre Av (5),2699.211962,7.901085553,0,32.33,0.666666222,8.525954697,9.605216279,2.21205105,1.098612289,1.334957872,2.397895273,47.75,47.75,1,3.886705197,0,46.1,-0.51958042,403.7410925,33.21996652,1,0,0,0,1,0,0,0,0,0,0,0,1
443,Baychester Av (5),1888.283986,7.543953193,0,32.67,0.49999975,8.255828427,10.48313003,1.848498411,1.098612289,2.276383063,2.708050201,45,45,1,3.828641396,0,46.1,-0.51958042,1491.726218,166.1813961,1,0,0,0,1,0,0,0,0,0,0,0,1
444,Gun Hill Rd (5),3085.45156,8.034777348,0,32.67,0.49999975,8.485908901,10.38767142,1.37758833,0.693147181,1.579336475,2.63905733,43.25,43.25,1,3.789855371,0,46.1,-0.51958042,1545.181834,-17.80017469,1,0,0,0,1,0,0,0,0,0,0,0,1
445,Pelham Pkwy (5),2093.033503,7.646847391,0,33,0.666666222,9.416541203,10.34942259,1.314923302,1.098612289,2.432977888,2.708050201,40.75,40.75,1,3.731699451,0,46.1,-0.51958042,1370.239551,-45.54696728,1,0,0,0,1,0,0,0,0,0,0,0,1
446,Morris Park (5),1864.098331,7.531069055,0,33.67,0.571428245,8.30474227,10.73081591,1.758197724,1.609437912,2.161812924,2.564949357,39.75,39.75,1,3.70745584,0,46.1,-0.51958042,3609.020698,-5.028265893,1,0,0,0,1,0,0,0,0,0,0,0,1
210,Norwood-205 St (D),4387.130685,8.386658603,0,34.33,0.49999975,8.749890956,11.01794038,1.802075942,2.302585093,2.301566104,2.944438979,39.5,39.5,1,3.701301974,0,36.32551531,0.284166676,5395.769297,-197.1569556,1,0,0,0,1,0,0,0,0,0,0,0,1
211,"Bedford Park Blvd (B,D)",4265.993529,8.358664767,0,46.67,0.666666222,8.032360148,11.14921152,1.983608156,2.48490665,2.194134463,2.995732274,34,37.75,2,3.555348061,0,36.32551531,0.284166676,7263.962537,163.6902981,1,0,0,1,0,0,0,0,0,1,0,0,1
212,"Kingsbridge Rd (B,D)",4024.570936,8.300422027,0,47.67,0.666666222,8.196161139,11.40568541,2.037484593,2.302585093,2.282733407,3.044522438,32,35.75,2,3.496507561,0,36.32551531,0.284166676,8312.820301,-97.39037801,1,0,0,1,0,0,0,0,0,1,0,0,1
213,"Fordham Rd (B,D)",6138.099238,8.722433306,0,47.67,0.666666222,8.872487182,11.55126117,2.062062022,2.079441542,2.605728469,3.135494216,30.5,34,2,3.449987546,0,8.047234247,-1.332213627,7647.362805,63.22942623,1,0,0,1,0,0,0,0,0,1,0,0,1
214,"182-183 Sts (B,D)",2871.285377,7.962863291,0,41.67,0.999999,8.692154394,11.55588916,2.115071621,1.098612289,2.228143818,3.044522438,36,36,1,3.610917913,0,32.5985867,-0.60874452,9948.836087,27.95477184,1,0,0,1,0,0,0,0,0,1,0,0,1
215,"Tremont Av (B,D)",4451.407716,8.401200289,0,48,0.666666222,8.488793717,11.40544047,2.249045456,1.609437912,2.108951542,2.890371758,28,31.25,2,3.36729583,0,32.5985867,-0.60874452,8785.388321,29.0392648,1,0,0,1,0,0,0,0,0,1,0,0,1
216,"174-175 Sts (B,D)",2735.793602,7.914542296,0,42.67,0.666666222,8.127995056,11.38951412,2.147413238,1.098612289,2.178816221,2.833213344,33,33,1,3.526360525,0,15.77668782,-0.772409006,7365.920363,-71.31797379,1,0,0,1,0,0,0,0,0,1,0,0,1
217,"170 St (B,D)",3495.997158,8.159659924,0,42.33,0.666666222,8.236420527,11.51566172,2.081559651,0.693147181,2.370644323,2.944438979,31,31,1,3.465735903,0,15.77668782,-0.772409006,8295.510616,-24.10165263,1,0,0,0,1,0,0,0,0,0,0,0,1
218,"167 St (B,D)",4899.177492,8.497026706,0,42.33,0.666666222,8.530504205,11.55724852,2.016725218,1.609437912,2.39591581,2.772588722,29.5,29.5,1,3.417726684,0,30.36343184,-0.798639018,10192.73542,-115.0393711,1,0,0,1,0,0,0,0,0,1,0,0,1
416,Wakefield-241 St (2),2810.395743,7.941436345,0,38,0.666666222,7.531016332,9.981928979,1.705850204,0,1.424581337,1.609437912,58,58,1,4.077537444,0,30.36343184,-0.798639018,2076.006517,-10.28465335,1,0,0,0,1,0,0,0,0,0,0,0,1
418,"233 St (2,5)",2606.342163,7.866086653,0,42,0.666666222,8.090402297,10.60077615,1.962247908,0.693147181,1.79376243,2.079441542,53.5,54.25,2,3.998200702,0,30.36343184,-0.798639018,4727.048714,34.53597786,1,0,0,0,1,0,0,0,0,0,0,0,1
419,"225 St (2,5)",1906.389635,7.553490903,0,42.33,0.999999,7.724004657,10.68976071,1.782420997,0.693147181,1.539217355,2.48490665,51.25,52.38,2,3.956039891,0,30.36343184,-0.798639018,4153.46058,15.22772375,1,0,0,0,1,0,0,0,0,0,0,0,1
420,"219 St (2,5)",1536.946118,7.338203115,0,42,0.666666222,7.440146681,10.68322519,1.725185729,1.098612289,1.580811792,2.302585093,49.75,51.12,2,3.926911618,0,30.36343184,-0.798639018,3411.173775,-28.46946423,1,0,0,0,1,0,0,0,0,0,0,0,1
423,"Allerton Av (2,5)",2771.940977,7.927663761,0,42,0.666666222,7.826443135,10.80307963,1.627446841,1.098612289,1.958759375,2.833213344,44.75,46.12,2,3.823191792,0,30.36343184,-0.798639018,5293.412425,415.5976948,1,0,0,0,1,0,0,0,0,0,0,0,1
