station_complex_id,pop_latest,pop_slope,pop_growth_ratio,pop_first_year,pop_last_year,n_years
305,9476.910085,-3.827109363,1.019921209,2013,2024,12
306,4896.092067,-11.63046044,0.860976613,2013,2024,12
307,5583.873337,9.281957566,1.014006986,2013,2024,12
308,8591.538751,6.01558224,0.98835284,2013,2024,12
309,9747.418407,-46.02289618,0.892657801,2013,2024,12
310,10618.90254,-39.92806944,0.945407439,2013,2024,12
311,10005.86514,-196.8082771,0.880554748,2013,2024,12
312,9500.386235,123.3390761,1.11866191,2013,2024,12
313,10419.7795,350.2059999,1.339994227,2013,2024,12
314,7190.613845,466.042014,2.271978812,2013,2024,12
316,4244.532556,49.04630864,1.218906965,2013,2024,12
318,1467.113247,58.47031639,1.628423519,2013,2024,12
319,4439.115275,129.5470974,1.456787861,2013,2024,12
320,6841.911162,-16.76026636,0.993064324,2013,2024,12
321,5252.565848,-365.6356451,0.597457414,2013,2024,12
323,6144.265666,-12.87982023,0.98628657,2013,2024,12
324,2807.130929,-33.65209437,0.891096651,2013,2024,12
325,2179.460785,81.76015689,1.53065527,2013,2024,12
326,2918.941474,8.396773106,1.14766297,2013,2024,12
327,5020.933083,40.80864166,1.115280156,2013,2024,12
328,1759.635345,24.19380562,1.200224061,2013,2024,12
329,4740.95016,-236.6335983,0.787991956,2013,2024,12
333,10223.71554,16.17637578,1.134500164,2013,2024,12
334,8046.729706,79.67282419,1.145245213,2013,2024,12
336,5232.358929,505.3339172,6.98602494,2013,2024,12
337,4961.225815,252.1678654,1.964648243,2013,2024,12
339,4684.994607,226.9094887,1.835769693,2013,2024,12
340,4212.547689,179.6726924,1.361496079,2013,2024,12
341,4262.191581,28.8568745,0.981647393,2013,2024,12
343,4888.599413,-37.18467729,0.967791786,2013,2024,12
344,4416.50147,298.2042147,2.592555493,2013,2024,12
345,5936.084208,82.92860761,1.042210354,2020,2024,5
346,3782.164991,-112.8362468,0.780481055,2013,2024,12
347,3691.1472,-41.2103705,0.917457436,2013,2024,12
348,6627.688915,130.8574386,1.458728715,2013,2024,12
349,3329.613862,41.25986185,1.314728961,2013,2024,12
350,4499.751602,-2.580554653,1.041322817,2013,2024,12
351,3724.108741,-6.415733313,0.901793466,2013,2024,12
352,4071.103599,79.59665253,1.29751339,2013,2024,12
353,5193.759429,-9.807866262,0.971602792,2013,2024,12
354,3691.471347,-152.474065,0.651186071,2013,2024,12
355,2941.802982,-56.77412985,0.88063916,2013,2024,12
356,5494.310543,22.16675489,1.120417737,2013,2024,12
357,3961.904021,-74.22104045,0.770710403,2013,2024,12
358,4572.777782,37.8363028,1.092400705,2013,2024,12
359,3603.847502,270.1341472,2.432810842,2013,2024,12
