stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,station_complex_id,complex_stop_name,complex_display_name,constituent_station_names,station_ids,borough,cbd,daytime_routes,structure_type,complex_latitude,complex_longitude,ada,ada_notes,is_ibx,station_complex_name,station_complex_lat,station_complex_lon
402,Mosholu Pkwy,40.87975,-73.884655,1,,379.0,Mosholu Pkwy,Mosholu Pkwy (4),Mosholu Pkwy,379,Bx,False,4,Elevated,40.87975,-73.884655,1.0,,False,Mosholu Pkwy (4),40.87975,-73.884655
402N,Mosholu Pkwy,40.87975,-73.884655,0,402,,,,,,,,,,,,,,False,Mosholu Pkwy,,
402S,Mosholu Pkwy,40.87975,-73.884655,0,402,,,,,,,,,,,,,,False,Mosholu Pkwy,,
405,Bedford Park Blvd-Lehman College,40.873412,-73.890064,1,,380.0,Bedford Park Blvd-Lehman College,Bedford Park Blvd-Lehman College (4),Bedford Park Blvd-Lehman College,380,Bx,False,4,Elevated,40.873412,-73.890064,0.0,,False,Bedford Park Blvd-Lehman College (4),40.873412,-73.890064
405N,Bedford Park Blvd-Lehman College,40.873412,-73.890064,0,405,,,,,,,,,,,,,,False,Bedford Park Blvd-Lehman College,,
405S,Bedford Park Blvd-Lehman College,40.873412,-73.890064,0,405,,,,,,,,,,,,,,False,Bedford Park Blvd-Lehman College,,
406,Kingsbridge Rd,40.86776,-73.897174,1,,381.0,Kingsbridge Rd,Kingsbridge Rd (4),Kingsbridge Rd,381,Bx,False,4,Elevated,40.86776,-73.897174,0.0,,False,Kingsbridge Rd (4),40.86776,-73.897174
406N,Kingsbridge Rd,40.86776,-73.897174,0,406,,,,,,,,,,,,,,False,Kingsbridge Rd,,
406S,Kingsbridge Rd,40.86776,-73.897174,0,406,,,,,,,,,,,,,,False,Kingsbridge Rd,,
407,Fordham Rd,40.862803,-73.901034,1,,382.0,Fordham Rd,Fordham Rd (4),Fordham Rd,382,Bx,False,4,Elevated,40.862803,-73.901034,1.0,,False,Fordham Rd (4),40.862803,-73.901034
407N,Fordham Rd,40.862803,-73.901034,0,407,,,,,,,,,,,,,,False,Fordham Rd,,
407S,Fordham Rd,40.862803,-73.901034,0,407,,,,,,,,,,,,,,False,Fordham Rd,,
408,183 St,40.858407,-73.903879,1,,383.0,183 St,183 St (4),183 St,383,Bx,False,4,Elevated,40.858407,-73.903879,0.0,,False,183 St (4),40.858407,-73.903879
408N,183 St,40.858407,-73.903879,0,408,,,,,,,,,,,,,,False,183 St,,
408S,183 St,40.858407,-73.903879,0,408,,,,,,,,,,,,,,False,183 St,,
409,Burnside Av,40.853453,-73.907684,1,,384.0,Burnside Av,Burnside Av (4),Burnside Av,384,Bx,False,4,Elevated,40.853453,-73.907684,0.0,,False,Burnside Av (4),40.853453,-73.907684
409N,Burnside Av,40.853453,-73.907684,0,409,,,,,,,,,,,,,,False,Burnside Av,,
409S,Burnside Av,40.853453,-73.907684,0,409,,,,,,,,,,,,,,False,Burnside Av,,
410,176 St,40.84848,-73.911794,1,,385.0,176 St,176 St (4),176 St,385,Bx,False,4,Elevated,40.84848,-73.911794,0.0,,False,176 St (4),40.84848,-73.911794
410N,176 St,40.84848,-73.911794,0,410,,,,,,,,,,,,,,False,176 St,,
410S,176 St,40.84848,-73.911794,0,410,,,,,,,,,,,,,,False,176 St,,
411,Mt Eden Av,40.844434,-73.914685,1,,386.0,Mt Eden Av,Mt Eden Av (4),Mt Eden Av,386,Bx,False,4,Elevated,40.844434,-73.914685,0.0,,False,Mt Eden Av (4),40.844434,-73.914685
411N,Mt Eden Av,40.844434,-73.914685,0,411,,,,,,,,,,,,,,False,Mt Eden Av,,
411S,Mt Eden Av,40.844434,-73.914685,0,411,,,,,,,,,,,,,,False,Mt Eden Av,,
412,170 St,40.840075,-73.917791,1,,387.0,170 St,170 St (4),170 St,387,Bx,False,4,Elevated,40.840075,-73.917791,1.0,,False,170 St (4),40.840075,-73.917791
412N,170 St,40.840075,-73.917791,0,412,,,,,,,,,,,,,,False,170 St,,
412S,170 St,40.840075,-73.917791,0,412,,,,,,,,,,,,,,False,170 St,,
413,167 St,40.835537,-73.9214,1,,388.0,167 St,167 St (4),167 St,388,Bx,False,4,Elevated,40.835537,-73.9214,0.0,,False,167 St (4),40.835537,-73.9214
413N,167 St,40.835537,-73.9214,0,413,,,,,,,,,,,,,,False,167 St,,
413S,167 St,40.835537,-73.9214,0,413,,,,,,,,,,,,,,False,167 St,,
414,161 St-Yankee Stadium,40.827994,-73.925831,1,,604.0,161 St-Yankee Stadium,"161 St-Yankee Stadium (4,B,D)",161 St-Yankee Stadium,219; 389,Bx,False,4 B D,Elevated; Subway,40.8279495,-73.925741,1.0,,False,"161 St-Yankee Stadium (4,B,D)",40.8279495,-73.925741
414N,161 St-Yankee Stadium,40.827994,-73.925831,0,414,,,,,,,,,,,,,,False,161 St-Yankee Stadium,,
414S,161 St-Yankee Stadium,40.827994,-73.925831,0,414,,,,,,,,,,,,,,False,161 St-Yankee Stadium,,
415,149 St-Grand Concourse,40.818375,-73.927351,1,,603.0,149 St-Grand Concourse,"149 St-Grand Concourse (2,4,5)",149 St-Grand Concourse,390; 435,Bx,False,2 4 5,Subway,40.8183925,-73.9270345,0.0,,False,"149 St-Grand Concourse (2,4,5)",40.8183925,-73.9270345
415N,149 St-Grand Concourse,40.818375,-73.927351,0,415,,,,,,,,,,,,,,False,149 St-Grand Concourse,,
415S,149 St-Grand Concourse,40.818375,-73.927351,0,415,,,,,,,,,,,,,,False,149 St-Grand Concourse,,
416,138 St-Grand Concourse,40.813224,-73.929849,1,,391.0,138 St-Grand Concourse,"138 St-Grand Concourse (4,5)",138 St-Grand Concourse,391,Bx,False,4 5,Subway,40.813224,-73.929849,0.0,,False,"138 St-Grand Concourse (4,5)",40.813224,-73.929849
416N,138 St-Grand Concourse,40.813224,-73.929849,0,416,,,,,,,,,,,,,,False,138 St-Grand Concourse,,
