YEAR,GEO_ID,NAME,S1701_C03_001E
2013,1400000US36047027300,"Census Tract 273, Kings County, New York",28.2
2013,1400000US36047027400,"Census Tract 274, Kings County, New York",15.3
2013,1400000US36047027500,"Census Tract 275, Kings County, New York",23.9
2013,1400000US36047027600,"Census Tract 276, Kings County, New York",23.7
2013,1400000US36047027700,"Census Tract 277, Kings County, New York",39.3
2013,1400000US36047027800,"Census Tract 278, Kings County, New York",22.7
2013,1400000US36047027900,"Census Tract 279, Kings County, New York",13.5
2013,1400000US36047028000,"Census Tract 280, Kings County, New York",6.9
2013,1400000US36047028100,"Census Tract 281, Kings County, New York",45.8
2013,1400000US36047028200,"Census Tract 282, Kings County, New York",19.8
2013,1400000US36047028300,"Census Tract 283, Kings County, New York",46.8
2013,1400000US36047028400,"Census Tract 284, Kings County, New York",20
2013,1400000US36047028501,"Census Tract 285.01, Kings County, New York",12.1
2013,1400000US36047028502,"Census Tract 285.02, Kings County, New York",37.9
2013,1400000US36047028600,"Census Tract 286, Kings County, New York",14.2
2013,1400000US36047028700,"Census Tract 287, Kings County, New York",37.1
2013,1400000US36047028800,"Census Tract 288, Kings County, New York",25.5
2013,1400000US36047028900,"Census Tract 289, Kings County, New York",41.8
2013,1400000US36047029000,"Census Tract 290, Kings County, New York",25
2013,1400000US36047029100,"Census Tract 291, Kings County, New York",23.9
2013,1400000US36047029200,"Census Tract 292, Kings County, New York",19.6
2013,1400000US36047029300,"Census Tract 293, Kings County, New York",26.3
2013,1400000US36047029400,"Census Tract 294, Kings County, New York",22.3
2013,1400000US36047029500,"Census Tract 295, Kings County, New York",14.8
2013,1400000US36047029600,"Census Tract 296, Kings County, New York",17.3
2013,1400000US36047029700,"Census Tract 297, Kings County, New York",36.6
2013,1400000US36047029800,"Census Tract 298, Kings County, New York",17.1
2013,1400000US36047029900,"Census Tract 299, Kings County, New York",38.3
2013,1400000US36047030000,"Census Tract 300, Kings County, New York",11.7
2013,1400000US36047030100,"Census Tract 301, Kings County, New York",24.8
2013,1400000US36047030200,"Census Tract 302, Kings County, New York",14.3
2013,1400000US36047030300,"Census Tract 303, Kings County, New York",54.8
2013,1400000US36047030400,"Census Tract 304, Kings County, New York",15.2
2013,1400000US36047030500,"Census Tract 305, Kings County, New York",19.1
2013,1400000US36047030600,"Census Tract 306, Kings County, New York",17.6
2013,1400000US36047030700,"Census Tract 307, Kings County, New York",37.1
2013,1400000US36047030800,"Census Tract 308, Kings County, New York",11.9
2013,1400000US36047030900,"Census Tract 309, Kings County, New York",51.1
2013,1400000US36047031100,"Census Tract 311, Kings County, New York",27.9
2013,1400000US36047031300,"Census Tract 313, Kings County, New York",20.5
2013,1400000US36047031400,"Census Tract 314, Kings County, New York",12.3
2013,1400000US36047031500,"Census Tract 315, Kings County, New York",26.9
2013,1400000US36047031701,"Census Tract 317.01, Kings County, New York",24.6
2013,1400000US36047031702,"Census Tract 317.02, Kings County, New York",25.9
2013,1400000US36047031900,"Census Tract 319, Kings County, New York",24.3
