station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,jobs_access_network,pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,pct_walked_access_network,bus_routes_access_network,avg_headway_min_am_peak,service_x_jobs_access,density_x_service,jobs_x_density,entropy_x_density,inv_headway,log_jobs_access,log_density,cluster
431,"Intervale Av (2,5)",Bronx,1852.235426,7.524688269,65.67,0,3703,63676,2.02871156,2.302585093,11.70800639,15,1.0,243176.01,4181602.92,235792228,129180.2373,0.999999,8.217168596,11.06157871,1
432,"Prospect Av (2,5)",Bronx,4109.270138,8.321244032,66.0,0,4502,70680,1.961356802,2.302585093,11.80694195,14,1.0,297132.0,4664880.0,318201360,138628.6988,0.999999,8.41249912,11.16593207,1
433,"Jackson Av (2,5)",Bronx,3122.304124,8.046646735,66.0,0,4713,63903,2.152677627,2.564949357,11.37492245,15,1.0,311058.0,4217598.0,301174839,137562.5584,0.999999,8.458292083,11.06513724,1
434,"3 Av-149 St (2,5)",Bronx,11628.18874,9.361273487,77.67,0,7560,59157,2.062324309,2.302585093,11.22603681,17,1.0,587185.2,4594724.19,447226920,122000.9191,0.999999,8.930758736,10.98796711,1
603,"149 St-Grand Concourse (2,4,5)",Bronx,6980.165518,8.850971161,45.33,2,7219,38352,2.187884226,2.564949357,10.18384698,21,1.0,327237.27,1738496.16,276863088,83909.73584,0.999999,8.884610232,10.55458803,1
438,"135 St (2,3)",Manhattan,7199.292392,8.881876914,74.67,0,4191,79883,1.938046008,3.761200116,8.594882385,24,1.0,312941.97,5964863.61,334789653,154816.9293,0.999999,8.340933226,11.28833086,1
441,"110 St-Malcolm X Plaza (2,3)",Manhattan,4913.069182,8.499857632,75.0,0,5349,79166,1.467345043,3.555348061,10.76916284,24,1.0,401175.0,5937450.0,423458934,116163.8377,0.999999,8.58485184,11.27931482,1
334,"Clark St (2,3)",Brooklyn,4925.591618,8.502402673,75.33,0,13900,40013,2.029496202,3.784189634,11.77133933,15,1.0,1047087.0,3014179.29,556180700,81206.23153,0.999999,9.539716059,10.59698467,1
620,"Borough Hall/Court St (2,3,4,5,R)",Brooklyn,22325.47859,10.01352863,37.0,0,15740,57365,2.034762207,3.784189634,11.74217086,16,1.5,582380.0,2122505.0,902925100,116724.134,0.666666222,9.664024052,10.95720707,1
336,"Hoyt St (2,3)",Brooklyn,5683.629052,8.645521154,74.0,0,14851,56519,2.023403793,3.850147602,11.90101022,16,1.0,1098974.0,4182406.0,839363669,114360.759,0.999999,9.605889815,10.94234984,1
339,"Bergen St (2,3)",Brooklyn,3323.814647,8.109169206,78.67,0,4499,54400,1.893451176,4.262679877,7.192464616,18,1.0,353936.33,4279648.0,244745600,103003.744,0.999999,8.411832676,10.90413782,1
340,"Grand Army Plaza (2,3)",Brooklyn,5363.439042,8.587547091,78.33,0,3917,54006,1.909906153,3.258096538,6.541431968,15,1.0,306818.61,4230289.98,211541502,103146.3917,0.999999,8.273336599,10.89686895,1
341,"Eastern Pkwy-Brooklyn Museum (2,3)",Brooklyn,3380.917755,8.126198211,78.33,0,1879,48734,1.848232126,2.890371758,4.959475465,15,1.0,147182.07,3817334.22,91571186,90071.74443,0.999999,7.539027056,10.79415274,1
626,"Franklin Av-Medgar Evers College/Botanic Garden (2,3,4,5,S)",Brooklyn,10738.78078,9.281709956,36.0,4,1726,59270,1.922099661,3.044522438,4.638729934,13,1.0,62136.0,2133720.0,102300020,113922.8469,0.999999,7.454141078,10.98987543,1
353,"President St-Medgar Evers College (2,5)",Brooklyn,2549.272799,7.843955612,56.0,0,2231,66047,1.717222038,2.772588722,7.464368397,15,1.0,124936.0,3698632.0,147350857,113417.3639,0.999999,7.710653324,11.09813703,1
354,"Sterling St (2,5)",Brooklyn,4067.635704,8.311063014,56.0,0,2893,60810,1.693133113,2.772588722,8.467759498,12,1.0,162008.0,3405360.0,175923330,102959.4246,0.999999,7.970394907,11.01552597,1
355,"Winthrop St (2,5)",Brooklyn,5575.986393,8.626403837,57.0,0,12241,61284,1.783462724,2.397895273,7.345964424,11,1.0,697737.0,3493188.0,750177444,109297.7296,0.999999,9.412627941,11.02329039,1
356,"Church Av (2,5)",Brooklyn,6251.356797,8.740713759,57.0,0,5450,55833,2.080210391,2.079441542,6.243706393,14,1.0,310650.0,3182481.0,304289850,116144.3868,0.999999,8.603554357,10.93013828,1
357,"Beverly Rd (2,5)",Brooklyn,3159.675798,8.058541144,56.33,0,2566,52771,1.908368555,1.791759469,5.445701189,15,1.0,144542.78,2972590.43,135410386,100706.517,0.999999,7.850493181,10.87373603,1
358,"Newkirk Av-Little Haiti (2,5)",Brooklyn,4822.976234,8.481353812,56.33,0,2142,60176,1.482675414,1.609437912,4.348959075,16,1.0,120658.86,3389714.08,128896992,89221.47571,0.999999,7.669961995,11.0050455,1
359,"Flatbush Av-Brooklyn College (2,5)",Brooklyn,13072.46825,9.478340131,56.0,0,4608,49259,1.49641511,1.609437912,5.034624628,17,1.5,258048.0,2758504.0,226985472,73711.9119,0.666666222,8.435766193,10.80486767,1
343,Nostrand Av (3),Brooklyn,2555.378628,7.846346938,39.0,0,2227,65964,1.756344334,2.63905733,6.649039831,14,1.0,86853.0,2572596.0,146901828,115855.4976,0.999999,7.708859601,11.09687958,1
344,Kingston Av (3),Brooklyn,3181.817489,8.065522086,39.0,0,2996,66428,1.698246359,2.397895273,9.424574122,16,1.5,116844.0,2590692.0,199018288,112811.1091,0.666666222,8.005367067,11.10388899,1
345,"Crown Hts-Utica Av (3,4)",Brooklyn,16975.37996,9.739578243,83.0,0,4257,67710,1.783960074,1.386294361,7.567323424,15,1.0,353331.0,5619930.0,288241470,120791.9366,0.999999,8.356554845,11.12300393,1
346,Sutter Av-Rutland Rd (3),Brooklyn,4210.435414,8.345558822,40.33,0,4304,56439,1.697919217,1.386294361,6.261262885,13,1.5,173580.32,2276184.87,242913456,95828.86269,0.666666222,8.367532417,10.94093341,1
347,Saratoga Av (3),Brooklyn,3154.713836,8.056970005,40.0,0,2843,49275,1.856215003,0.693147181,6.394887938,13,1.5,113720.0,1971000.0,140088825,91464.99427,0.666666222,7.952966791,10.80519243,1
348,Rockaway Av (3),Brooklyn,2940.906023,7.986812957,40.33,0,2156,40888,2.001428084,1.609437912,6.981503623,11,1.5,86951.48,1649013.04,88154528,81834.3915,0.666666222,7.676473646,10.61861636,1
349,Junius St (3),Brooklyn,1625.164006,7.39397915,39.67,0,1040,41332,1.95452427,1.386294361,5.477471771,12,1.5,41256.8,1639640.44,42985280,80784.39713,0.666666222,6.947937069,10.62941649,1
350,Pennsylvania Av (3),Brooklyn,2721.089381,7.909155019,39.67,0,1933,41920,1.946761073,1.098612289,4.424340246,16,1.5,76682.11,1662966.4,81031360,81608.22418,0.666666222,7.567345676,10.64354217,1
351,Van Siclen Av (3),Brooklyn,1624.314344,7.393456519,39.67,0,1207,46375,1.635252754,1.386294361,4.325298296,10,1.5,47881.69,1839696.25,55974625,75834.84647,0.666666222,7.096721378,10.74453736,1
352,New Lots Av (3),Brooklyn,3646.56888,8.201816164,40.0,0,3036,44713,1.445706176,1.609437912,4.285535917,10,1.5,121440.0,1788520.0,135748668,64641.86025,0.666666222,8.018625465,10.70804193,1
436,Harlem-148 St (3),Manhattan,2240.882862,7.715071355,34.0,0,473,68199,2.174889835,2.708050201,5.596851115,12,2.0,16082.0,2318766.0,32258127,148325.3119,0.49999975,6.161207322,11.13019984,1
437,145 St (3),Manhattan,2004.105769,7.603452091,34.33,0,2718,64267,2.055813137,3.091042453,7.27196039,25,1.5,93308.94,2206286.11,174677706,132120.9429,0.666666222,7.908019445,11.07081712,1
378,Woodlawn (4),Bronx,4368.079584,8.382307644,41.33,0,5064,19828,0.693600634,1.098612289,11.49820067,11,1.5,209295.12,819491.24,100408992,13752.71337,0.666666222,8.530109417,9.894900792,1
379,Mosholu Pkwy (4),Bronx,5111.977746,8.539537243,41.33,0,5991,45715,2.092947217,2.397895273,8.496939538,16,1.5,247608.03,1889400.95,273878565,95679.08203,0.666666222,8.698180525,10.73020363,1
380,Bedford Park Blvd-Lehman College (4),Bronx,3683.697992,8.211943845,41.67,0,1662,63587,1.774461782,2.397895273,6.919429728,19,1.25,69255.54,2649670.29,105681594,112832.7013,0.79999936,7.416378479,11.06018005,1
381,Kingsbridge Rd (4),Bronx,5749.886551,8.657109305,42.33,0,4145,95491,1.963344809,2.302585093,7.420152198,20,1.5,175457.85,4042134.03,395810195,187481.7592,0.666666222,8.329899293,11.46679775,1
382,Fordham Rd (4),Bronx,6240.195573,8.738927041,42.67,0,4613,100796,1.990690094,2.079441542,9.813687337,22,1.5,196836.71,4300965.32,464971948,200653.5987,0.666666222,8.436850439,11.52086387,1
383,183 St (4),Bronx,3475.493832,8.153779545,43.0,0,3049,103609,1.981342092,1.791759469,8.209237299,19,1.5,131107.0,4455187.0,315903841,205284.8728,0.666666222,8.02289687,11.54838913,1
384,Burnside Av (4),Bronx,6012.663945,8.701789483,43.0,0,3053,101830,1.99861164,2.079441542,7.474191055,15,1.5,131279.0,4378690.0,310886990,203518.6233,0.666666222,8.024207486,11.53106986,1
385,176 St (4),Bronx,3295.020864,8.100471221,43.67,0,2635,97357,2.084467121,1.609437912,7.882520888,16,1.5,115070.45,4251580.19,256535695,202937.4655,0.666666222,7.877017896,11.48615019,1
386,Mt Eden Av (4),Bronx,3081.630201,8.033538473,43.0,0,2755,97118,2.10712115,0.693147181,8.538709969,16,1.5,118465.0,4176074.0,267560090,204639.3918,0.666666222,7.921535632,11.48369231,1
387,170 St (4),Bronx,4496.430576,8.41126153,43.0,0,2711,100649,2.065993428,1.609437912,8.182542308,17,1.5,116573.0,4327907.0,272859439,207940.1725,0.666666222,7.905441649,11.51940443,1
388,167 St (4),Bronx,5606.061139,8.631782,43.33,0,3964,101475,2.047639134,2.079441542,8.810103421,16,1.5,171760.12,4396911.75,402246900,207784.1811,0.666666222,8.285261134,11.5275776,1
604,"161 St-Yankee Stadium (4,B,D)",Bronx,17504.653,9.770279136,42.67,2,5188,58474,2.172833531,1.791759469,8.287133731,19,1.5,221371.96,2495085.58,303363112,127054.2679,0.666666222,8.554296279,10.97635459,1
391,"138 St-Grand Concourse (4,5)",Bronx,2618.438921,7.870715422,70.67,0,5552,41931,2.030236576,2.708050201,10.69524779,18,1.0,392359.84,2963263.77,232800912,85129.84987,0.999999,8.622093601,10.64380454,1
442,Eastchester-Dyre Av (5),Bronx,2699.211962,7.901085553,32.33,0,5043,14841,2.21205105,1.098612289,2.799835862,10,1.5,163040.19,479809.53,74843163,32829.04963,0.666666222,8.525954697,9.605216279,1
443,Baychester Av (5),Bronx,1888.283986,7.543953193,32.67,0,3849,35707,1.848498411,1.098612289,8.741382641,14,2.0,125746.83,1166547.69,137436243,66004.33276,0.49999975,8.255828427,10.48313003,1
444,Gun Hill Rd (5),Bronx,3085.45156,8.034777348,32.67,0,4845,32456,1.37758833,0.693147181,3.851735496,13,2.0,158286.15,1060337.52,157249320,44711.00684,0.49999975,8.485908901,10.38767142,1
445,Pelham Pkwy (5),Bronx,2093.033503,7.646847391,33.0,0,12289,31238,1.314923302,1.098612289,10.39275797,14,1.5,405537.0,1030854.0,383883782,41075.57411,0.666666222,9.416541203,10.34942259,1
446,Morris Park (5),Bronx,1864.098331,7.531069055,33.67,0,4042,45743,1.758197724,1.609437912,7.686872029,12,1.75,136094.14,1540166.81,184893206,80425.23849,0.571428245,8.30474227,10.73081591,1
360,Pelham Bay Park (6),Bronx,4094.668118,8.317685138,41.67,0,1015,15585,1.365046746,0.0,2.824704119,9,1.5,42295.05,649426.95,15818775,21274.25354,0.666666222,6.923628628,9.654128354,1
361,Buhre Av (6),Bronx,2642.566219,7.879884125,41.67,0,1594,24193,1.844091504,0.693147181,2.598274261,13,1.5,66421.98,1008122.31,38563642,44614.10576,0.666666222,7.374629015,10.09385995,1
362,Middletown Rd (6),Bronx,1505.461841,7.317519029,42.0,0,8870,20764,1.888730477,1.098612289,4.208053992,13,1.5,372540.0,872088.0,184176680,39217.59962,0.666666222,9.090542809,9.941024156,1
363,Westchester Sq-E Tremont Av (6),Bronx,2566.653362,7.850747672,41.33,0,7446,21318,2.12455464,1.791759469,10.40648903,14,1.5,307743.18,881072.94,158733828,45291.25582,0.666666222,8.915566546,9.967353973,1
364,Zerega Av (6),Bronx,1713.303761,7.446762307,41.67,0,5817,33465,2.138512494,1.791759469,7.155548887,16,1.5,242394.39,1394486.55,194665905,71565.32061,0.666666222,8.668711839,10.41828528,1
365,Castle Hill Av (6),Bronx,3721.175194,8.222063506,41.67,0,6144,51908,1.857744187,1.386294361,5.870126248,16,2.0,256020.48,2163006.36,318922752,96431.78526,0.49999975,8.723394022,10.85724746,1
366,Parkchester (6),Bronx,10015.43487,9.21198251,54.33,0,3903,69858,1.825840327,1.386294361,5.335069224,15,1.0,212049.99,3795385.14,272655774,127549.5536,0.999999,8.269756948,11.1542342,1
367,St Lawrence Av (6),Bronx,2473.508406,7.813797031,45.33,0,3112,61454,1.830306643,0.693147181,6.310989316,16,1.0,141066.96,2785709.82,191244848,112479.6644,0.999999,8.04334217,11.02606048,1
368,Morrison Av-Soundview (6),Bronx,3705.94261,8.217962722,45.0,0,1941,63057,1.775332959,1.098612289,6.471805566,15,1.5,87345.0,2837565.0,122393637,111947.1704,0.666666222,7.571473649,11.05181022,1
369,Elder Av (6),Bronx,3694.769533,8.214944075,45.33,0,2232,53711,2.106796245,0.693147181,5.922213391,16,1.5,101176.56,2434719.63,119882952,113158.1331,0.666666222,7.711101252,10.89139172,1
370,Whitlock Av (6),Bronx,1227.233007,7.113331836,45.67,0,398,51823,2.271875227,1.098612289,10.17052595,3,1.5,18176.66,2366756.41,20625554,117735.3899,0.666666222,5.988961417,10.85560864,1
371,Hunts Point Av (6),Bronx,6638.904209,8.800852816,54.33,0,4455,47238,2.334338821,2.079441542,9.73652603,10,1.0,242040.15,2566440.54,210445290,110269.4972,0.999999,8.402006782,10.7629751,1
372,Longwood Av (6),Bronx,2259.832305,7.723488301,45.33,0,6525,47934,2.186467943,2.302585093,10.62359572,13,1.0,295778.25,2172848.22,312769350,104806.1544,0.999999,8.783549477,10.77760121,1
373,E 149 St (6),Bronx,3062.890239,8.027440708,46.0,0,3213,41141,2.113467364,1.791759469,9.575564299,15,1.0,147798.0,1892486.0,132186033,86950.16082,0.999999,8.075271546,10.62478478,1
374,E 143 St-St Mary's St (6),Bronx,930.4300919,6.836721138,46.0,0,2818,35426,2.154512099,0.0,8.231800779,12,1.0,129628.0,1629596.0,99830468,76325.74562,0.999999,7.944137491,10.47522952,1
375,Cypress Av (6),Bronx,1833.398283,7.514471795,46.33,0,3383,31695,1.857940905,0.693147181,9.57029046,11,1.0,156734.39,1468429.35,107224185,58887.43698,0.999999,8.126813721,10.36394577,1
376,Brook Av (6),Bronx,3443.199262,8.144446722,46.67,0,4529,51032,2.113769537,2.197224577,10.66618315,12,1.0,211368.43,2381663.44,231123928,107869.887,0.999999,8.418477218,10.84022776,1
377,3 Av-138 St (6),Bronx,5542.413582,8.62036576,57.67,0,5780,43350,2.098356303,2.079441542,11.46193057,15,1.0,333332.6,2499994.5,250563000,90963.74574,0.999999,8.662331957,10.67708505,1
393,116 St (6),Manhattan,8893.89544,9.093232845,58.0,0,7251,83905,1.787865763,3.401197382,9.199911248,26,1.0,420558.0,4866490.0,608395155,150010.8768,0.999999,8.889032572,11.3374524,1
394,110 St (6),Manhattan,6732.242501,8.814812105,58.0,0,8691,89556,1.61907725,3.36729583,10.91379082,28,1.0,504078.0,5194248.0,778331196,144998.0822,0.999999,9.070158341,11.40263057,1
395,103 St (6),Manhattan,8480.911889,9.045691162,58.33,0,10415,85095,1.717983775,3.33220451,14.48299185,25,1.0,607506.95,4963591.35,886264425,146191.8293,0.999999,9.251098364,11.35153531,1
448,Mets-Willets Point (7),Queens,4962.468795,8.509860129,86.33,0,2034,4391,1.361423293,0.0,8.601567227,7,0.5,175595.22,379075.03,8931294,5978.00968,1.999996,7.618251098,8.387539983,1
449,111 St (7),Queens,6383.826258,8.761679557,76.0,0,3674,47925,1.964438464,1.609437912,10.33774125,14,1.0,279224.0,3642300.0,176076450,94145.71339,0.999999,8.209308412,10.77741343,1
450,103 St-Corona Plaza (7),Queens,19936.47756,9.900356534,76.67,0,3803,80519,1.566248257,1.386294361,10.3643008,13,1.0,291576.01,6173391.73,306213757,126112.7434,0.999999,8.243808424,11.29626088,1
451,Junction Blvd (7),Queens,19820.26203,9.894510481,88.33,0,4267,91108,1.73139728,1.098612289,9.467157837,15,0.5,376904.11,8047569.64,388757836,157744.1434,1.999996,8.358900612,11.41981187,1
