station_complex_id,station_complex_name,buffer_area_sqmi,pop_density_0p5mi,pop_rank,population_0p5mi,population_access_network,jobs_access_network,landuse_entropy_0p5mi,landuse_entropy_relative_0p5mi,landuse_simpson_0p5mi,landuse_k_categories_0p5mi,intersection_count_0p5mi,intersection_density_0p5mi,citibike_count_0p5mi,pct_hh_no_vehicle_access_network,median_hh_income_access_network,pct_car_truck_van_access_network,pct_transit_access_network,pct_taxicab_access_network,pct_bicycle_access_network,pct_walked_access_network,pct_other_means_access_network,pct_wfh_access_network,avg_bg_median_hh_income_access_network,bus_routes_access_network,subway_lines_access_network,commuter_lines_access_network,dist_to_commuter_stop_ft_network,dist_to_commuter_stop_mi_network,has_commuter_stop_within_1mi_network,transfer_subway_station_complexes_0p25mi_network,transfer_subway_station_complexes_0p10mi_network,has_subway_station_complex_within_1mi_network,dist_to_subway_station_complex_ft_network,dist_to_subway_station_complex_mi_network,is_ibx_planned,peak_tph_bidir,midday_tph_bidir,peak_tph_perdir,midday_tph_perdir,subway_lines_serving_station,is_terminal_subway,has_university_0p25mi,has_university_0p5mi,has_hospital_0p25mi,has_hospital_0p5mi,has_stadium_0p1mi,cultural_count_0p25mi,cultural_count_0p5mi,has_cultural_0p25mi,cultural_count_0p25mi_capped10,cultural_count_0p25mi_log1p,has_cultural_0p5mi,cultural_count_0p5mi_capped10,cultural_count_0p5mi_log1p,adjacent_major_park_0p25mi,adjacent_major_park_0p5mi,subway_trips_per_hour_am_peak,avg_headway_min_am_peak
259,"Kew Gardens-Union Tpke (E,F)",0.784137123,25985,397,20376,16085,7897,1.877202083,0.815258506,0.819988656,10,614,783.026313,0,30.92377239,91577.93082,27.01972204,55.65312659,0.374244752,0.282840892,3.835002996,0.562161667,8.368850715,89830,29,5,8,2546.91371,0.482370021,1,0,0,0,0,0,0,0,0,,,0,0,1,1,0,0,0,3,3,1,3,1.386294361,1,3,1.386294361,1,1,83.33,0.75
260,"75 Av (E,F)",0.784137123,28816,388,22596,13343,9087,1.800229028,0.781829533,0.786102885,10,588,749.8688469,0,26.80762399,101459.2,22.24214406,56.66845557,1.068625118,0.360309288,4.175163681,0.502574572,10.41724778,98574,22,5,8,2752.121069,0.521235051,1,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,3,0,0,0,1,3,1.386294361,1,1,59.67,1
276,"5 Av/53 St (E,F)",0.784137123,27454,394,21528,8110,61410,1.087365288,0.494881269,0.533737893,9,268,341.7769575,35,6.297316533,140082.1664,4.894419265,34.5640397,3.545581705,1.498603231,38.35640228,1.082253476,14.65580308,143497,86,21,10,2484.960117,0.470636386,1,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,30,88,1,10,3.433987204,1,10,4.48863637,0,1,67,1
232,2 Av (F),0.784137123,85326,46,66907,18982,11787,1.78924315,0.74617235,0.78793022,11,564,719.2619552,41,7.212390286,72326.77092,4.791555494,51.49228083,1.890139181,6.338397348,22.00955413,0.629680304,10.23626839,70103,27,20,0,,,0,0,0,0,0,0,0,39,31,19.5,15.5,2,0,0,1,0,0,0,39,183,1,10,3.688879454,1,10,5.214935758,0,0,41.67,1.5
625,"Delancey St-Essex St (F,M,J,Z)",0.784137123,90040,35,70604,25842,8842,1.788208612,0.745740914,0.785726378,11,794,1012.578001,40,9.051754547,53691.05229,5.780533783,52.81840643,1.488957167,5.918347714,21.4659005,0.800215295,8.338067989,51505,27,14,0,,,0,0,0,0,0,0,0,36,30,18,15,3,0,0,0,0,0,0,32,87,1,10,3.496507561,1,10,4.477336814,0,0,68.67,1
234,East Broadway (F),0.784137123,78465,67,61527,20316,8395,1.854035382,0.773192809,0.799397933,11,784,999.8251293,28,9.339472057,51777.4386,6.078767679,51.26388934,1.257413276,5.097377325,23.11049262,0.97133567,8.960019718,48429,43,17,0,,,0,0,0,0,0,0,0,85,61,42.5,30.5,4,0,0,0,0,0,0,14,67,1,10,2.708050201,1,10,4.219507705,0,0,41,1.5
235,York St (F),0.784137123,29765,387,23340,6866,12067,2.063582088,0.860580573,0.850471165,11,1000,1275.287155,24,7.197319597,139888.672,6.038196401,60.02011919,2.752035594,1.906854922,11.90759886,0.766317338,15.44072652,103355,15,14,0,,,0,0,0,0,0,0,0,84,59,42,29.5,4,0,1,1,0,0,0,26,37,1,10,3.295836866,1,10,3.63758616,0,0,41.33,1.5
236,"Bergen St (F,G)",0.784137123,56188,181,44059,12413,13699,1.899887222,0.792314512,0.812846021,11,338,431.0470583,28,7.218125718,139846.9301,5.659007174,60.36479605,1.275434686,4.476799287,11.3076138,0.413970341,14.8879602,145105,15,15,8,4947.974951,0.937116468,1,0,0,0,0,0,0,39,30,19.5,15,3,0,0,1,0,1,0,11,36,1,10,2.48490665,1,10,3.610917913,0,0,76,1
237,"Carroll St (F,G)",0.784137123,41409,305,32470,14547,5521,2.093869323,0.873211331,0.845940854,11,514,655.4975975,19,8.542423067,136660.0527,6.81423648,56.32116763,1.974429589,5.318811959,12.93525201,0.156609667,14.69269868,138095,22,12,0,,,0,0,0,0,0,0,0,38,31,19,15.5,3,0,0,1,0,0,0,10,21,1,10,2.397895273,1,10,3.091042453,0,0,76.67,1
238,"Smith-9 Sts (F,G)",0.784137123,23746,405,18620,15617,5294,2.166324368,0.903427432,0.864551136,11,548,698.8573608,17,10.44319145,104337.3161,8.310702896,53.3896456,1.456328725,6.556362471,14.74479061,0.165927988,13.21117896,90209,15,6,0,,,0,0,0,0,0,0,0,39,30,19.5,15,3,0,0,0,0,0,0,2,15,1,2,1.098612289,1,10,2.772588722,0,0,76,1
