station_complex,station_complex_id,borough,latitude,longitude,geometry,year,annual_weekday_avg_ridership,log_ridership
167 St (4),388,Bronx,40.835537,-73.9214,POINT (-73.9214 40.835537),2024,5359.641509,8.586838931
"167 St (B,D)",218,Bronx,40.83377,-73.91844,POINT (-73.91844 40.83377),2023,5049.480769,8.52723872
"167 St (B,D)",218,Bronx,40.83377,-73.91844,POINT (-73.91844 40.83377),2024,4748.874214,8.465873415
"168 St (A,C,1)",605,Manhattan,40.840717,-73.93956,POINT (-73.93956 40.840717),2023,17055.02564,9.74425883
"168 St (A,C,1)",605,Manhattan,40.840717,-73.93956,POINT (-73.93956 40.840717),2024,17613.96226,9.776503949
169 St (F),255,Queens,40.71047,-73.7936,POINT (-73.7936 40.71047),2023,5424.487179,8.598862977
169 St (F),255,Queens,40.71047,-73.7936,POINT (-73.7936 40.71047),2024,5666.773585,8.642551654
170 St (4),387,Bronx,40.840076,-73.91779,POINT (-73.91779 40.840076),2023,4568.974359,8.427262873
170 St (4),387,Bronx,40.840076,-73.91779,POINT (-73.91779 40.840076),2024,4423.886792,8.394999973
"170 St (B,D)",217,Bronx,40.839306,-73.9134,POINT (-73.9134 40.839306),2023,3598.032051,8.188420214
"170 St (B,D)",217,Bronx,40.839306,-73.9134,POINT (-73.9134 40.839306),2024,3393.962264,8.130047925
"174 St (2,5)",428,Bronx,40.837288,-73.88773,POINT (-73.88773 40.837288),2023,3700.807692,8.216576545
"174 St (2,5)",428,Bronx,40.837288,-73.88773,POINT (-73.88773 40.837288),2024,3490.81761,8.158177685
"174-175 Sts (B,D)",216,Bronx,40.8459,-73.91013,POINT (-73.91013 40.8459),2023,2804.455128,7.939321061
"174-175 Sts (B,D)",216,Bronx,40.8459,-73.91013,POINT (-73.91013 40.8459),2024,2667.132075,7.889133909
175 St (A),147,Manhattan,40.84739,-73.939705,POINT (-73.939705 40.84739),2023,7440.50641,8.914828582
175 St (A),147,Manhattan,40.84739,-73.939705,POINT (-73.939705 40.84739),2024,7218.918239,8.884598908
176 St (4),385,Bronx,40.84848,-73.9118,POINT (-73.9118 40.84848),2023,3252.211538,8.087397953
176 St (4),385,Bronx,40.84848,-73.9118,POINT (-73.9118 40.84848),2024,3337.830189,8.113375782
18 Av (D),66,Brooklyn,40.607952,-74.00174,POINT (-74.00174 40.607952),2023,4325.25,8.372456395
18 Av (D),66,Brooklyn,40.607952,-74.00174,POINT (-74.00174 40.607952),2024,4385.515723,8.386290506
18 Av (F),245,Brooklyn,40.629753,-73.976974,POINT (-73.976974 40.629753),2023,2592.378205,7.860716631
18 Av (F),245,Brooklyn,40.629753,-73.976974,POINT (-73.976974 40.629753),2024,2491.63522,7.821095751
18 Av (N),74,Brooklyn,40.62067,-73.99042,POINT (-73.99042 40.62067),2023,3725.384615,8.223193771
18 Av (N),74,Brooklyn,40.62067,-73.99042,POINT (-73.99042 40.62067),2024,3596.849057,8.188091462
18 St (1),321,Manhattan,40.74104,-73.99787,POINT (-73.99787 40.74104),2023,5925.320513,8.687158813
18 St (1),321,Manhattan,40.74104,-73.99787,POINT (-73.99787 40.74104),2024,5823.930818,8.669902402
181 St (1),301,Manhattan,40.849506,-73.93359,POINT (-73.93359 40.849506),2023,7649.801282,8.942565664
181 St (1),301,Manhattan,40.849506,-73.93359,POINT (-73.93359 40.849506),2024,7139.830189,8.873584321
181 St (A),146,Manhattan,40.851696,-73.937965,POINT (-73.937965 40.851696),2023,5867.532051,8.677359805
181 St (A),146,Manhattan,40.851696,-73.937965,POINT (-73.937965 40.851696),2024,6490.735849,8.778285239
"182-183 Sts (B,D)",214,Bronx,40.856094,-73.90074,POINT (-73.90074 40.856094),2023,2921.916667,7.980337255
"182-183 Sts (B,D)",214,Bronx,40.856094,-73.90074,POINT (-73.90074 40.856094),2024,2820.654088,7.945078548
183 St (4),383,Bronx,40.858406,-73.90388,POINT (-73.90388 40.858406),2023,3619.679487,8.194416991
183 St (4),383,Bronx,40.858406,-73.90388,POINT (-73.90388 40.858406),2024,3331.308176,8.111420489
190 St (A),145,Manhattan,40.85902,-73.93418,POINT (-73.93418 40.85902),2023,3183.070513,8.065915693
190 St (A),145,Manhattan,40.85902,-73.93418,POINT (-73.93418 40.85902),2024,3147.176101,8.054578548
191 St (1),300,Manhattan,40.855225,-73.92941,POINT (-73.92941 40.855225),2023,5443.929487,8.602440085
191 St (1),300,Manhattan,40.855225,-73.92941,POINT (-73.92941 40.855225),2024,5103.987421,8.537973267
2 Av (F),232,Manhattan,40.7234,-73.98994,POINT (-73.98994 40.7234),2023,11923.37821,9.386340172
2 Av (F),232,Manhattan,40.7234,-73.98994,POINT (-73.98994 40.7234),2024,11998.27673,9.392601654
20 Av (D),67,Brooklyn,40.604557,-73.99817,POINT (-73.99817 40.604557),2023,3588.288462,8.185709262
20 Av (D),67,Brooklyn,40.604557,-73.99817,POINT (-73.99817 40.604557),2024,3606.805031,8.190854842
20 Av (N),75,Brooklyn,40.61741,-73.98502,POINT (-73.98502 40.61741),2023,3056.673077,8.025409473
20 Av (N),75,Brooklyn,40.61741,-73.98502,POINT (-73.98502 40.61741),2024,3258.91195,8.089455465
207 St (1),298,Manhattan,40.86462,-73.91882,POINT (-73.91882 40.86462),2023,4385.532051,8.386294228
207 St (1),298,Manhattan,40.86462,-73.91882,POINT (-73.91882 40.86462),2024,4020.446541,8.299396953
21 St (G),282,Queens,40.744064,-73.94972,POINT (-73.94972 40.744064),2023,1395.576923,7.241779467
21 St (G),282,Queens,40.744064,-73.94972,POINT (-73.94972 40.744064),2024,1242.594771,7.125761474
21 St-Queensbridge (F),221,Queens,40.754204,-73.94283,POINT (-73.94283 40.754204),2023,5108.852564,8.53892583
21 St-Queensbridge (F),221,Queens,40.754204,-73.94283,POINT (-73.94283 40.754204),2024,5565.974843,8.624607069
215 St (1),297,Manhattan,40.869446,-73.915276,POINT (-73.915276 40.869446),2023,1580.089744,7.365869599
215 St (1),297,Manhattan,40.869446,-73.915276,POINT (-73.915276 40.869446),2024,1670.867925,7.421696798
"219 St (2,5)",420,Bronx,40.883896,-73.86263,POINT (-73.86263 40.883896),2023,1618.955128,7.390153729
"219 St (2,5)",420,Bronx,40.883896,-73.86263,POINT (-73.86263 40.883896),2024,1454.937107,7.283405032
"225 St (2,5)",419,Bronx,40.888023,-73.860344,POINT (-73.860344 40.888023),2023,1961.301282,7.581873187
"225 St (2,5)",419,Bronx,40.888023,-73.860344,POINT (-73.860344 40.888023),2024,1851.477987,7.524279474
23 St (1),320,Manhattan,40.74408,-73.99566,POINT (-73.99566 40.74408),2023,9832.128205,9.193512393
23 St (1),320,Manhattan,40.74408,-73.99566,POINT (-73.99566 40.74408),2024,9935.415094,9.20396158
23 St (6),405,Manhattan,40.739864,-73.9866,POINT (-73.9866 40.739864),2023,19300.26923,9.867926136
23 St (6),405,Manhattan,40.739864,-73.9866,POINT (-73.9866 40.739864),2024,19687.77358,9.887803884
"23 St (C,E)",165,Manhattan,40.745907,-73.99804,POINT (-73.99804 40.745907),2023,14762.5,9.599913197
"23 St (C,E)",165,Manhattan,40.745907,-73.99804,POINT (-73.99804 40.745907),2024,16127.56604,9.688347267
"23 St (F,M)",228,Manhattan,40.742878,-73.99282,POINT (-73.99282 40.742878),2023,19013.11538,9.852936897
"23 St (F,M)",228,Manhattan,40.742878,-73.99282,POINT (-73.99282 40.742878),2024,20212.39623,9.914100843
"23 St (R,W)",14,Manhattan,40.741302,-73.98934,POINT (-73.98934 40.741302),2023,13741.78205,9.528269024
"23 St (R,W)",14,Manhattan,40.741302,-73.98934,POINT (-73.98934 40.741302),2024,14441.61006,9.577938148
231 St (1),295,Bronx,40.878857,-73.90483,POINT (-73.90483 40.878857),2023,6313.615385,8.750622128
231 St (1),295,Bronx,40.878857,-73.90483,POINT (-73.90483 40.878857),2024,5823.257862,8.669786865
"233 St (2,5)",418,Bronx,40.893192,-73.857475,POINT (-73.857475 40.893192),2023,2784.935897,7.932339145
"233 St (2,5)",418,Bronx,40.893192,-73.857475,POINT (-73.857475 40.893192),2024,2427.748428,7.795131353
238 St (1),294,Bronx,40.884666,-73.90087,POINT (-73.90087 40.884666),2023,3225.442308,8.079135356
238 St (1),294,Bronx,40.884666,-73.90087,POINT (-73.90087 40.884666),2024,3039.320755,8.0197183
25 Av (D),69,Brooklyn,40.597706,-73.98683,POINT (-73.98683 40.597706),2023,3141.089744,8.052643381
25 Av (D),69,Brooklyn,40.597706,-73.98683,POINT (-73.98683 40.597706),2024,3036.471698,8.01878077
25 St (R),31,Brooklyn,40.660397,-73.99809,POINT (-73.99809 40.660397),2023,2657.833333,7.885642709
25 St (R),31,Brooklyn,40.660397,-73.99809,POINT (-73.99809 40.660397),2024,2677.050314,7.892844314
28 St (1),319,Manhattan,40.747215,-73.99336,POINT (-73.99336 40.747215),2023,9966.807692,9.207115948
28 St (1),319,Manhattan,40.747215,-73.99336,POINT (-73.99336 40.747215),2024,9991.786164,9.209618728
28 St (6),404,Manhattan,40.74307,-73.98426,POINT (-73.98426 40.74307),2023,14776.30769,9.600848019
28 St (6),404,Manhattan,40.74307,-73.98426,POINT (-73.98426 40.74307),2024,15562.98113,9.652714622
"28 St (R,W)",13,Manhattan,40.745495,-73.98869,POINT (-73.98869 40.745495),2023,8385.173077,9.034339566
"28 St (R,W)",13,Manhattan,40.745495,-73.98869,POINT (-73.98869 40.745495),2024,9172.006289,9.124020351
3 Av (L),118,Manhattan,40.73285,-73.98612,POINT (-73.98612 40.73285),2023,4610.782051,8.436369623
3 Av (L),118,Manhattan,40.73285,-73.98612,POINT (-73.98612 40.73285),2024,5005.050314,8.518402523
3 Av-138 St (6),377,Bronx,40.810474,-73.92614,POINT (-73.92614 40.810474),2023,5813.839744,8.668168505
3 Av-138 St (6),377,Bronx,40.810474,-73.92614,POINT (-73.92614 40.810474),2024,5270.987421,8.57016269
"3 Av-149 St (2,5)",434,Bronx,40.81611,-73.917755,POINT (-73.917755 40.81611),2023,11171.67308,9.321226172
"3 Av-149 St (2,5)",434,Bronx,40.81611,-73.917755,POINT (-73.917755 40.81611),2024,12084.7044,9.399778579
"30 Av (N,W)",3,Queens,40.76678,-73.92148,POINT (-73.92148 40.76678),2023,9911.935897,9.201595839
"30 Av (N,W)",3,Queens,40.76678,-73.92148,POINT (-73.92148 40.76678),2024,10157.26415,9.226042855
33 St (6),403,Manhattan,40.746082,-73.98208,POINT (-73.98208 40.746082),2023,19140.52564,9.859615371
33 St (6),403,Manhattan,40.746082,-73.98208,POINT (-73.98208 40.746082),2024,20700.55346,9.937964023
33 St-Rawson St (7),460,Queens,40.744587,-73.931,POINT (-73.931 40.744587),2023,6546.705128,8.786869905
33 St-Rawson St (7),460,Queens,40.744587,-73.931,POINT (-73.931 40.744587),2024,6417.63522,8.766960792
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",607,Manhattan,40.749718,-73.98782,POINT (-73.98782 40.749718),2023,75644.26923,11.23381018
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",607,Manhattan,40.749718,-73.98782,POINT (-73.98782 40.749718),2024,78604.13836,11.27219235
34 St-Hudson Yards (7),471,Manhattan,40.755882,-74.00191,POINT (-74.00191 40.755882),2023,18654.82692,9.833913812
34 St-Hudson Yards (7),471,Manhattan,40.755882,-74.00191,POINT (-74.00191 40.755882),2024,20773.8805,9.941499868
"34 St-Penn Station (1,2,3)",318,Manhattan,40.750374,-73.99106,POINT (-73.99106 40.750374),2023,50870.40385,10.83705623
"34 St-Penn Station (1,2,3)",318,Manhattan,40.750374,-73.99106,POINT (-73.99106 40.750374),2024,53828.31447,10.89357348
"34 St-Penn Station (A,C,E)",164,Manhattan,40.75229,-73.99339,POINT (-73.99339 40.75229),2023,55994.78846,10.93303176
"34 St-Penn Station (A,C,E)",164,Manhattan,40.75229,-73.99339,POINT (-73.99339 40.75229),2024,59623.72327,10.99582559
"36 Av (N,W)",5,Queens,40.756805,-73.92957,POINT (-73.92957 40.756805),2023,4745.775641,8.465220854
"36 Av (N,W)",5,Queens,40.756805,-73.92957,POINT (-73.92957 40.756805),2024,4910.490566,8.499332752
"36 St (D,N,R)",32,Brooklyn,40.655144,-74.00355,POINT (-74.00355 40.655144),2023,11065.07692,9.311639575
