station_complex_id,year,weighted_pop
369.0,2015,7827.935509330368
369.0,2016,7829.686979849439
369.0,2017,7571.670554277806
369.0,2018,7266.632614152992
369.0,2019,6976.490305565725
369.0,2020,7636.427676149532
369.0,2021,7954.836278119874
369.0,2022,7994.846314086473
369.0,2023,7783.830700441931
369.0,2024,7755.707743538442
370.0,2013,2869.9979919548814
370.0,2014,2581.6565990294193
370.0,2015,2984.231587470057
370.0,2016,2645.7648078443813
370.0,2017,2549.6168090709043
370.0,2018,2458.112612826054
370.0,2019,2583.859533162935
370.0,2020,2302.3566568419924
370.0,2021,2508.391344607535
370.0,2022,2398.5383701581395
370.0,2023,2567.3374325136047
370.0,2024,2527.709447706888
371.0,2013,4592.165238941147
371.0,2014,4529.32469600028
371.0,2015,4622.734266488181
371.0,2016,4356.655586825218
371.0,2017,4513.125745915497
371.0,2018,4228.596795286439
371.0,2019,4082.6663568004287
371.0,2020,4071.1984391519977
371.0,2021,4646.899951055143
371.0,2022,4613.484532025472
371.0,2023,4372.0051455985
371.0,2024,4240.680797773049
372.0,2013,4411.49944926889
372.0,2014,4739.1532423675835
372.0,2015,4509.904412001396
372.0,2016,4902.796380403585
372.0,2017,5082.626268154136
372.0,2018,4771.438273433354
372.0,2019,4547.773162731575
372.0,2020,4657.231334991347
372.0,2021,4509.9356555272125
372.0,2022,4111.777907877171
372.0,2023,3768.097333484833
372.0,2024,3922.1180780168884
373.0,2013,4423.696142874874
373.0,2014,4608.319963291044
373.0,2015,4906.36246371243
373.0,2016,5289.823778444179
373.0,2017,5285.955826261523
373.0,2018,5155.495303723741
373.0,2019,4947.064899247451
373.0,2020,5097.219965347614
373.0,2021,5412.987467836451
373.0,2022,5437.848420682121
373.0,2023,5847.604298118498
373.0,2024,6082.538354070428
374.0,2013,1403.4912534173698
374.0,2014,1659.0700067300593
374.0,2015,1569.5140543648745
374.0,2016,1699.7609004730407
374.0,2017,1718.0272823621294
374.0,2018,1675.0218942407923
374.0,2019,1434.4948267373893
374.0,2020,1613.7744519193102
374.0,2021,1847.4023813067602
374.0,2022,2071.1414187423716
374.0,2023,2206.0108771777755
374.0,2024,2140.6817731945785
375.0,2013,5067.418954782497
375.0,2014,5130.161964958887
375.0,2015,4861.543019993878
375.0,2016,4600.101924777787
375.0,2017,4311.743472544397
375.0,2018,4639.00270562328
375.0,2019,4179.965066711995
375.0,2020,4381.273172968071
375.0,2021,4397.720082822506
375.0,2022,5069.994385082295
375.0,2023,4697.450023044657
375.0,2024,4839.61161606441
376.0,2013,6869.661969352861
376.0,2014,6715.903992199392
376.0,2015,7081.140778015802
376.0,2016,6918.9211952176065
376.0,2017,7261.810006047993
376.0,2018,7411.94267433021
376.0,2019,7155.927054935207
376.0,2020,7560.482515073734
376.0,2021,8033.775565541602
376.0,2022,7779.82787252169
376.0,2023,7169.368197316143
376.0,2024,7101.817796276884
377.0,2013,5039.327724827586
377.0,2014,5575.730148763427
377.0,2015,5327.250714609134
377.0,2016,5570.8493052993435
377.0,2017,5347.9847518358765
377.0,2018,5587.464572307503
377.0,2019,5582.4170071562985
377.0,2020,5764.201184544078
377.0,2021,5435.514839154885
377.0,2022,5340.034396184903
377.0,2023,6197.306489542825
377.0,2024,5343.245746023857
378.0,2020,1781.8772508024058
378.0,2021,2002.8726202290777
378.0,2022,1896.8038149054178
378.0,2023,1980.9001427678463
378.0,2024,2401.232349433353
379.0,2013,2942.91569961675
379.0,2014,2859.4746578518807
379.0,2015,2766.8337979101316
379.0,2016,2816.851343890264
379.0,2017,3030.7712979647017
379.0,2018,3004.737042299168
379.0,2019,2686.6310060984697
379.0,2020,2880.3973867329637
379.0,2021,2836.2987580265317
379.0,2022,2785.4484168289778
379.0,2023,2937.544808113215
379.0,2024,3158.5790038443483
380.0,2013,2439.136323591499
380.0,2014,2452.4426933519667
380.0,2015,2429.394436360216
380.0,2016,2667.0871113129774
380.0,2017,2775.0065915594537
380.0,2018,2865.8026163353775
380.0,2019,2858.3750184301043
380.0,2020,3447.154743384909
380.0,2021,3455.5601727827843
380.0,2022,3476.9839218536936
380.0,2023,3469.594401122542
380.0,2024,3161.7882360382764
381.0,2013,5245.183504591371
381.0,2014,5609.5450958657675
381.0,2015,5865.884784765549
381.0,2016,6112.855089407023
381.0,2017,6030.2912636205565
381.0,2018,5739.200161460903
381.0,2019,5152.987205051293
381.0,2020,4870.498698819407
381.0,2021,4480.902683001612
381.0,2022,4681.9399943980225
381.0,2023,4381.544619648226
381.0,2024,4519.505444795141
382.0,2013,7576.153803201574
382.0,2014,7586.037751269492
382.0,2015,7647.521910060128
382.0,2016,7614.182493474916
382.0,2017,7896.984599483053
382.0,2018,7534.104967853153
382.0,2019,7670.585353266776
382.0,2020,7793.507863354288
382.0,2021,9138.180313009767
382.0,2022,8611.373677939191
382.0,2023,9249.699550763502
382.0,2024,9316.40149716272
383.0,2013,9756.381505209018
383.0,2014,9662.45444012859
383.0,2015,9877.548276335881
383.0,2016,9980.614080595327
383.0,2017,9953.471006349551
383.0,2018,10112.662584557536
383.0,2019,10199.460955589855
383.0,2020,9756.218520226894
383.0,2021,9757.97736306191
383.0,2022,9664.932116672786
383.0,2023,9207.500049089485
383.0,2024,8877.44585657028
384.0,2013,7505.0523830932
384.0,2014,7437.691856721475
384.0,2015,7254.7887297958105
384.0,2016,7044.284423235503
384.0,2017,7176.674085700142
384.0,2018,7043.766399773752
384.0,2019,7166.3906261513575
384.0,2020,7114.507329962689
384.0,2021,7212.39821394516
384.0,2022,7206.969394483714
384.0,2023,7372.770829562538
384.0,2024,7188.530384443349
385.0,2013,7858.96654248456
385.0,2014,7738.708434112256
385.0,2015,8010.650428490543
385.0,2016,8179.3457858671045
385.0,2017,8101.665714322037
385.0,2018,7262.742570276428
385.0,2019,7367.513682129087
385.0,2020,7255.8730973431675
385.0,2021,7265.633655525106
385.0,2022,7628.540642206557
385.0,2023,7583.492473866808
385.0,2024,6976.015589448207
386.0,2013,6167.812383926995
386.0,2014,6111.881558064584
386.0,2015,5671.644396958564
386.0,2016,5680.195819281094
386.0,2017,6070.863375813349
386.0,2018,6092.970994004803
386.0,2019,6003.480612907072
386.0,2020,6035.296668181672
386.0,2021,6302.011994429444
386.0,2022,6226.0082900462985
386.0,2023,6338.4550748171605
386.0,2024,5754.092413624399
387.0,2013,6868.1031346328755
387.0,2014,6608.108765682266
387.0,2015,6764.6110425106535
387.0,2016,6842.490336464901
387.0,2017,6883.648475264612
387.0,2018,6746.761160529163
387.0,2019,6929.332694698089
387.0,2020,6002.676463767997
387.0,2021,6489.956337927979
387.0,2022,6592.138031796293
387.0,2023,5785.755618731875
387.0,2024,5855.820431730881
388.0,2013,7168.894666951266
388.0,2014,6793.17021750397
388.0,2015,7089.56450927157
388.0,2016,6923.361848513447
388.0,2017,7199.038264786418
388.0,2018,7937.878619692242
388.0,2019,8070.291080869166
388.0,2020,7851.961978648911
388.0,2021,7656.811195077351
388.0,2022,6901.056528110374
388.0,2023,6752.099085483659
388.0,2024,6320.738339689844
391.0,2013,764.6157506503674
391.0,2014,835.8265437249809
391.0,2015,704.7472619183443
391.0,2016,764.5481131407776
391.0,2017,782.4408325659858
391.0,2018,820.5655023625868
391.0,2019,777.5143664717868
391.0,2020,912.4181611224667
391.0,2021,1007.8842489597351
391.0,2022,1006.7448259842752
391.0,2023,1146.9582106504363
391.0,2024,1681.560354145316
392.0,2013,3862.65321384447
392.0,2014,3648.1402791633113
392.0,2015,3738.621952402604
392.0,2016,3885.9562467487913
392.0,2017,3796.6227928095122
392.0,2018,3844.1040523249194
392.0,2019,4295.148545219458
392.0,2020,4163.350989802072
392.0,2021,3887.3084772482616
392.0,2022,3981.036545357352
392.0,2023,3954.556900881835
392.0,2024,3754.0526172430605
393.0,2013,5823.721018882563
393.0,2014,6014.098446825794
393.0,2015,6602.841302443865
393.0,2016,6701.982823158861
393.0,2017,7549.927858677839
393.0,2018,7843.2658747693495
393.0,2019,7615.654478209486
393.0,2020,7479.537814788802
393.0,2021,7086.363070379852
393.0,2022,6961.530836477618
393.0,2023,7411.474767967044
393.0,2024,7811.325850653897
394.0,2013,7315.102270801365
394.0,2014,7672.503505487379
394.0,2015,7818.726583390119
394.0,2016,7612.691217802867
394.0,2017,7670.345170265405
394.0,2018,7772.47607817488
394.0,2019,7127.161612422091
394.0,2020,6900.743352194586
394.0,2021,7198.8253434529215
394.0,2022,7085.7303247826285
394.0,2023,6510.2598902226055
394.0,2024,6526.742285133484
395.0,2013,7406.388488319768
395.0,2014,7412.912381331961
395.0,2015,7281.010445368754
395.0,2016,7570.031921252979
395.0,2017,7362.620624078554
395.0,2018,7113.145708155566
395.0,2019,6671.41385478056
395.0,2020,6064.60111150102
395.0,2021,5600.454099974982
395.0,2022,5701.835640035156
395.0,2023,5451.644871714464
395.0,2024,6490.178292384231
396.0,2013,10108.278328802151
396.0,2014,10717.719460497323
396.0,2015,11177.921686006197
396.0,2016,11192.129005597226
396.0,2017,11205.773391717621
396.0,2018,10668.231485509827
396.0,2019,10291.552633791292
396.0,2020,9779.596350103724
396.0,2021,9980.887972586646
396.0,2022,9344.460348841561
396.0,2023,10487.313938131803
396.0,2024,10375.114406707398
397.0,2013,10390.414292115698
397.0,2014,10670.082786036113
397.0,2015,10504.864755914823
397.0,2016,10841.629512903475
397.0,2017,11175.459515428009
397.0,2018,10884.408478052297
397.0,2019,10429.300215309087
397.0,2020,10460.44175821606
397.0,2021,9836.034189122727
397.0,2022,9556.555637980175
397.0,2023,9062.981262170604
397.0,2024,10098.040065948577
398.0,2013,6722.33330630004
398.0,2014,6759.932888948988
398.0,2015,6990.298548554651
398.0,2016,6583.870287337768
398.0,2017,6110.018620925604
398.0,2018,5993.292849318598
398.0,2019,5632.037262377524
398.0,2020,6116.333677622482
398.0,2021,6480.438021015661
398.0,2022,6372.825643444681
398.0,2023,6396.659762496176
398.0,2024,5921.975855966415
399.0,2013,4664.9582062107165
399.0,2014,4369.874893465356
399.0,2015,4167.8316949467935
399.0,2016,4483.75527858933
399.0,2017,4270.321237229372
399.0,2018,4189.602611311299
399.0,2019,4247.2059928530225
399.0,2020,4555.92868662957
399.0,2021,4594.711428620991
399.0,2022,4564.449651054309
399.0,2023,4321.06408062952
399.0,2024,4724.850773522258
403.0,2013,6095.29744757715
403.0,2014,5984.968560402334
403.0,2015,6088.732390911468
403.0,2016,5862.352538572632
403.0,2017,6272.658427549028
403.0,2018,6677.678838120882
403.0,2019,6848.799656171106
403.0,2020,7161.505538133497
403.0,2021,7359.908359870891
403.0,2022,6634.451469724152
403.0,2023,6488.194216179116
403.0,2024,6194.189720365735
404.0,2013,5164.605873603251
404.0,2014,4777.681846916852
404.0,2015,4938.6524452274525
404.0,2016,5081.012597179102
404.0,2017,5257.402104707164
404.0,2018,5173.076281645943
404.0,2019,5880.725941155705
404.0,2020,5846.09163232261
404.0,2021,5946.9618165627935
404.0,2022,5928.2334044028485
404.0,2023,6078.167902101818
404.0,2024,5012.902949445736
405.0,2013,4865.9213284972075
405.0,2014,5236.082179524089
405.0,2015,5341.155381866605
405.0,2016,5189.587927328903
405.0,2017,5396.218307567533
405.0,2018,5643.685626258119
405.0,2019,5517.794703514414
405.0,2020,5290.171881609123
405.0,2021,5623.414958281198
405.0,2022,5199.758556617366
405.0,2023,5031.737604955119
405.0,2024,4954.525577833435
407.0,2013,8413.343654877815
407.0,2014,8804.245459660597
407.0,2015,8779.980400224891
407.0,2016,8845.518528195997
407.0,2017,8717.098769778726
407.0,2018,8675.473338252868
407.0,2019,8760.252382276436
407.0,2020,5970.670525795027
407.0,2021,6043.5365402855205
407.0,2022,5980.70959696094
407.0,2023,5850.550315526123
407.0,2024,5461.786328655797
409.0,2013,5179.711294412183
409.0,2014,4928.215289903529
409.0,2015,4911.467231523099
409.0,2016,4833.97500605918
409.0,2017,4827.65783799218
409.0,2018,4453.619509987772
409.0,2019,4534.800735746084
409.0,2020,4564.897132344522
409.0,2021,4728.280608275914
409.0,2022,4368.764388126821
409.0,2023,4344.29627852968
409.0,2024,4255.62761409806
413.0,2013,8946.654182749751
413.0,2014,10035.048615731783
413.0,2015,10249.801924636005
413.0,2016,10522.260161555965
413.0,2017,10543.457882054106
413.0,2018,10335.287396226608
413.0,2019,9859.093296162804
413.0,2020,4896.060092214732
413.0,2021,5141.685559917786
413.0,2022,4966.074406354658
413.0,2023,5910.749309753307
413.0,2024,5839.716632909523
414.0,2013,2262.4781082952168
414.0,2014,2375.376945636658
414.0,2015,2611.1860321003883
414.0,2016,2708.7559905623825
414.0,2017,2710.1351713083086
414.0,2018,2762.085695410616
414.0,2019,3004.7871628644352
414.0,2020,2293.148189100063
414.0,2021,2344.823768455872
414.0,2022,2486.943750134766
414.0,2023,2219.396898466415
414.0,2024,2173.9796121180607
416.0,2013,1991.4892274874387
416.0,2014,1948.9704149101265
416.0,2015,2170.114043346759
416.0,2016,2063.7083718168924
416.0,2017,2441.869709235662
416.0,2018,2542.4458710116755
416.0,2019,2471.8327725899835
416.0,2020,2145.6740219077906
416.0,2021,2090.9786192966462
416.0,2022,1914.5960696506486
416.0,2023,1809.0119372787108
416.0,2024,2076.006516599087
417.0,2013,2353.9477937104602
417.0,2014,2278.6226221998827
417.0,2015,2113.203739831701
417.0,2016,2252.6563478169787
417.0,2017,1956.6148432379493
417.0,2018,2092.1858490440095
417.0,2019,2016.3271561006075
417.0,2020,2444.0595706108365
417.0,2021,2551.8243274830916
417.0,2022,2699.517138713978
417.0,2023,2929.424733163493
417.0,2024,2872.547608486785
418.0,2013,4106.693292441403
418.0,2014,4270.493416118761
418.0,2015,4561.492887722056
418.0,2016,4543.346517958116
418.0,2017,4785.377454093775
418.0,2018,4542.941606118465
418.0,2019,4743.307093679463
418.0,2020,4359.401061464036
418.0,2021,4609.219089131396
418.0,2022,4646.518624501163
418.0,2023,4626.760161098884
418.0,2024,4727.048714249361
419.0,2013,3992.4002054031557
419.0,2014,4084.706073793747
419.0,2015,4571.3633533724105
419.0,2016,4735.595973495099
419.0,2017,4754.256982633049
419.0,2018,4761.407046961936
419.0,2019,4884.106560847984
419.0,2020,4390.8070240378
419.0,2021,5018.325110086713
419.0,2022,4571.899674997998
419.0,2023,4321.785551133078
419.0,2024,4153.460580266537
420.0,2013,3895.9456044661874
420.0,2014,3389.4773180846664
420.0,2015,3450.2090881923623
420.0,2016,3298.7515327488027
420.0,2017,3119.0184092365635
420.0,2018,3048.9478046984677
420.0,2019,3246.9404246044014
420.0,2020,3105.686057284089
420.0,2021,3156.070002046732
420.0,2022,3276.160004325847
420.0,2023,3274.363876873478
420.0,2024,3411.173775226761
421.0,2013,4624.0507735528545
421.0,2014,4160.027247433207
421.0,2015,4360.619045733597
421.0,2016,4202.92030639561
421.0,2017,4008.067989005831
421.0,2018,4099.858981614404
421.0,2019,4071.512580870749
421.0,2020,4053.6935005335536
421.0,2021,4215.33515805295
421.0,2022,3757.977204125798
421.0,2023,3637.15234353121
421.0,2024,4425.063324873779
422.0,2013,1644.8209699301476
422.0,2014,2103.9604671857123
422.0,2015,2210.7514125242255
422.0,2016,2326.2179254179937
422.0,2017,2762.483609319684
422.0,2018,2553.84754837503
422.0,2019,2278.8469616815432
422.0,2020,5272.614538920365
422.0,2021,5007.358025105161
422.0,2022,4930.9319206268465
422.0,2023,4812.258273180699
422.0,2024,4631.601066103309
423.0,2013,1913.9311573058094
423.0,2014,2054.887804369054
423.0,2015,2342.599036509869
423.0,2016,2616.8257278664023
423.0,2017,2781.8310816211324
423.0,2018,2977.497669392817
423.0,2019,2657.719997132943
423.0,2020,6061.5500184424
423.0,2021,6045.657050303555
423.0,2022,5697.8739444510065
423.0,2023,5558.908544276851
423.0,2024,5293.412424583223
424.0,2013,6202.646123876397
424.0,2014,6205.413716186057
424.0,2015,6336.524075608217
424.0,2016,6514.309912071972
424.0,2017,6218.083051769875
424.0,2018,6110.533212034741
424.0,2019,6036.970038726854
424.0,2020,5647.046956427266
424.0,2021,5569.808072378404
424.0,2022,5516.47779362996
424.0,2023,5352.329120521135
424.0,2024,5192.048093161064
425.0,2013,1751.1769659635722
425.0,2014,2014.757413655416
425.0,2015,1975.8912906458927
425.0,2016,1911.677997605152
425.0,2017,1872.2168594917007
425.0,2018,2019.9049935697533
425.0,2019,1824.3257443472073
425.0,2020,1905.7343545956408
425.0,2021,2123.444228744294
425.0,2022,1943.8341475313393
425.0,2023,1717.4142409201047
425.0,2024,2018.625859907041
426.0,2013,1366.1069159729675
426.0,2014,1590.0242431867464
426.0,2015,1647.1077243102618
426.0,2016,1451.5558354028306
426.0,2017,1550.305196236297
426.0,2018,1495.8166532407288
426.0,2019,1471.7400760114383
426.0,2020,1520.6894718787187
426.0,2021,1423.7673141024295
426.0,2022,1436.197881060966
426.0,2023,1532.8265135910196
426.0,2024,1335.4302150913988
427.0,2013,3363.8633236248756
427.0,2014,3519.341361545713
427.0,2015,3650.1530293607566
427.0,2016,3509.253643928674
427.0,2017,3525.1120400556256
427.0,2018,3350.5737828455226
427.0,2019,3131.953519647832
427.0,2020,3288.3866040911644
427.0,2021,3664.526177336642
427.0,2022,3799.2479020257515
427.0,2023,3680.850099694747
427.0,2024,3926.71772414121
428.0,2013,4908.5872805533845
428.0,2014,4772.809637566281
428.0,2015,4671.144395903423
428.0,2016,4442.5187144745105
428.0,2017,4588.859943387149
428.0,2018,4567.25430381084
428.0,2019,4775.58530450597
428.0,2020,4882.012044174062
428.0,2021,5382.297932146585
428.0,2022,4713.960811812897
428.0,2023,5046.67618149275
428.0,2024,4718.389965580893
429.0,2013,4367.1305016951455
429.0,2014,4746.255971666106
429.0,2015,4794.024587041727
429.0,2016,4696.672167022306
429.0,2017,4990.185338613167
429.0,2018,4884.346074771509
429.0,2019,4730.3120135928275
429.0,2020,4745.743772839217
429.0,2021,5037.3351077534235
429.0,2022,5265.047643468223
429.0,2023,5102.877578947611
429.0,2024,5397.202676468792
430.0,2013,4147.966912190345
430.0,2014,4098.690848361716
430.0,2015,3790.7925103732127
430.0,2016,3895.9625639213637
430.0,2017,4143.61135793219
430.0,2018,3926.901301059549
430.0,2019,3746.254602828296
430.0,2020,4301.325995991603
430.0,2021,4619.286305484844
430.0,2022,4584.665762759461
430.0,2023,4606.455960114724
430.0,2024,4596.127017203279
431.0,2013,4864.846397814462
431.0,2014,4922.41445754766
431.0,2015,4922.382151191985
431.0,2016,5228.33272941689
431.0,2017,5214.8685642498
431.0,2018,4820.154465895843
431.0,2019,4863.132529018792
431.0,2020,4830.817615689002
431.0,2021,4947.000558014743
431.0,2022,6163.518411763504
431.0,2023,6284.124201368328
431.0,2024,5996.271523590633
432.0,2013,4113.4973024212295
432.0,2014,4305.921894769478
432.0,2015,4083.9850186656463
432.0,2016,4367.55388504588
432.0,2017,4642.193645977236
432.0,2018,4250.976836482059
432.0,2019,4375.203822414873
432.0,2020,4250.765674053913
432.0,2021,4858.389223011994
432.0,2022,4788.346744312619
432.0,2023,4683.076732345459
432.0,2024,4381.404737075399
433.0,2013,5344.95072266625
433.0,2014,5343.964873006938
433.0,2015,5480.3445537052885
433.0,2016,5916.061054345016
