station_complex_id,poverty_latest,poverty_slope,poverty_change_ratio,poverty_first_year,poverty_last_year,n_years
189,10.66277032,-2.416884533,0.274141643,2013,2024,12
190,21.46173794,-0.366792586,1.157242575,2013,2024,12
191,12.92598095,-0.983557882,0.659525859,2013,2024,12
192,15.75505909,-0.572942213,0.839383304,2013,2024,12
193,19.09517314,0.005943508,1.037508288,2013,2024,12
194,13.63615571,-0.704043949,0.907154808,2013,2024,12
195,13.11572484,-0.925399045,0.667728125,2013,2024,12
196,6.605292703,0.248820429,1.056653958,2013,2024,12
197,7.968507024,0.207965174,1.202697714,2013,2024,12
198,10.2,-0.027622378,1.569230769,2013,2024,12
199,2.6,-0.241258741,0.298850575,2013,2024,12
200,23.39897361,0.160868705,1.122726833,2013,2024,12
201,21.3,0.998951049,1.348101266,2013,2024,12
202,11,0.322027972,0.973451327,2013,2024,12
203,10.6956863,0.305003429,1.022225549,2013,2024,12
204,21.04241714,-0.061401759,1.164836745,2013,2024,12
205,18.6886735,-0.670109348,0.881762025,2013,2024,12
206,24.81892397,-0.421685964,0.878493759,2013,2024,12
207,41.26011687,1.44159116,1.511056376,2013,2024,12
208,19.31193977,0.247485529,1.269471709,2013,2024,12
209,22.65164612,-0.78944907,0.885877299,2013,2024,12
220,30.36343184,-0.798639018,0.885400598,2013,2024,12
221,27.16283586,-1.537573603,0.828390868,2013,2024,12
222,15.35352746,0.892132191,4.130129656,2013,2024,12
223,5.368213949,0.050738557,1.050204296,2013,2024,12
224,8.692613777,0.071632508,0.943686058,2013,2024,12
225,26.38338686,0.746604573,1.712935303,2013,2024,12
228,13.26571775,0.597598173,1.27280936,2013,2024,12
231,17.77944166,-1.408339096,0.643452219,2013,2024,12
232,21.19454821,-0.551509679,0.793047402,2013,2024,12
234,28.62031779,-0.643180774,0.848928839,2013,2024,12
235,16.62349477,-1.255883001,0.594063928,2013,2024,12
236,7.387200787,-0.299107871,0.685672164,2013,2024,12
237,10.31466346,0.328803005,2.215170756,2013,2024,12
238,5.222542995,-0.120491457,0.91398861,2013,2024,12
240,4.69561357,-0.093767192,0.893273248,2013,2024,12
241,12.62139243,-0.614474664,0.565395044,2013,2024,12
242,6.516972052,0.073686947,0.881739652,2013,2024,12
243,21.92339053,-0.113165082,1.12859103,2013,2024,12
244,19.94234906,-1.519307943,0.574943314,2013,2024,12
245,30.59392101,-0.730818905,0.867525799,2013,2024,12
