station_complex_id,station_complex_name,borough,avg_annual_ridership,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,jobs_access_network,pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,pct_walked_access_network,bus_routes_access_network,avg_headway_min_am_peak,service_x_jobs_access,density_x_service,jobs_x_density,entropy_x_density,inv_headway,log_jobs_access,log_density
614,"59 St-Columbus Circle (1,A,C,B,D)",Manhattan,52441.69297,10.86747629,122.33,1,29454,65768,1.594097534,4.369447852,26.07773337,76,0.5,3603107.82,8045399.4399999995,1937130672,104840.60661611201,1.999996000008,10.290618953955788,11.093903881679275
316,50 St (1),Manhattan,18476.30418,9.824298457,51.67,0,56863,54132,1.464688058,4.94875989,34.50596084,87,1.0,2938111.21,2797000.44,3078107916,79286.493955656,0.9999990000010001,10.948417730954377,10.899199260387178
611,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,140864.1038,11.855558,123.67,1,72379,36152,1.299708494,5.313205979,33.57188897,86,0.5,8951110.93,4470917.84,2616645608,46987.061475088005,1.999996000008,11.189685297117734,10.495515211695501
318,"34 St-Penn Station (1,2,3)",Manhattan,52349.35916,10.86571408,127.33,0,51489,41562,1.61021559,5.252273428,33.81055054,83,0.5,6556094.37,5292089.46,2139985818,66923.78035157999,1.999996000008,10.849142893040186,10.634965627401037
319,28 St (1),Manhattan,9979.296928,9.208368121,53.0,0,44514,58991,1.672080112,5.209486153,28.86452955,81,1.0,2359242.0,3126523.0,2625925374,98637.677886992,0.9999990000010001,10.703581490007771,10.985157120473925
320,23 St (1),Manhattan,9883.77165,9.198750635,53.0,0,36701,75475,1.759693679,4.919980926,24.44794396,80,1.0,1945153.0,4000175.0,2770007975,132812.880422525,0.9999990000010001,10.51058652847062,11.231570003907605
321,18 St (1),Manhattan,5874.625665,8.67856783,53.0,0,28253,80457,1.841462063,4.890349128,21.67643052,73,1.0,1497409.0,4264221.0,2273151621,148158.51320279101,0.9999990000010001,10.24899031947161,11.295490588123
601,"14 St/6 Av (1,2,3,L,F,M)",Manhattan,34413.02068,10.44621934,68.67,2,23922,81302,1.830199727,4.779123493,22.21643962,73,0.5,1642723.74,5583008.34,1944906444,148798.89820455402,1.999996000008,10.082595618260582,11.305938195224103
323,Christopher St-Stonewall (1),Manhattan,8312.340953,9.025616847,52.67,0,17531,75667,1.963672768,4.543294782,21.16004833,31,1.0,923357.77,3985380.89,1326518177,148585.22733625598,0.9999990000010001,9.7717830615387,11.234110628785555
324,Houston St (1),Manhattan,10404.56422,9.250095964,53.33,0,14619,49254,1.939390149,4.430816799,20.1562399,30,1.0,779631.27,2626715.82,720044226,95522.722398846,0.9999990000010001,9.59014573330377,10.804766164289779
