station_complex_id,station_complex_name,borough,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,pct_walked_access_network,log_pct_walked_access_network,log_bus_routes_access_network
420,"219 St (2,5)",Bronx,7.338203115,42.0,2,0.6666662222225186,7.440146680662688,10.683225188177172,1.725185729,1.098612289,3.858898626,1.5808117920655638,2.302585092994046
421,"Gun Hill Rd (2,5)",Bronx,8.300669237,41.67,0,0.6666662222225186,8.370547611074752,10.659257357575182,1.884976077,1.098612289,5.25297706,1.833057679939378,2.772588722239781
422,"Burke Av (2,5)",Bronx,7.451137097,41.33,0,0.6666662222225186,7.622174594817622,10.708645586157768,1.972000692,0.693147181,4.779729862,1.754356944913893,2.3978952727983707
423,"Allerton Av (2,5)",Bronx,7.927663761,42.0,2,0.6666662222225186,7.826443135456014,10.803079634787233,1.627446841,1.098612289,6.090524922,1.958759374756892,2.833213344056216
424,"Pelham Pkwy (2,5)",Bronx,8.581971195,42.67,0,0.6666662222225186,8.204945165019208,10.721437517010912,1.552487721,1.945910149,6.709299502,2.042427327675877,2.8903717578961645
425,"Bronx Park East (2,5)",Bronx,7.31811939,42.67,0,0.6666662222225186,8.210668031162976,10.377576575186112,1.908385811,1.386294361,5.610551894,1.8886671441754588,2.772588722239781
426,"E 180 St (2,5)",Bronx,8.646148142,79.33,0,0.999999000001,8.096208271650037,10.501746964063756,2.129864101,1.386294361,5.894997825,1.93079619579924,2.772588722239781
427,"West Farms Sq-E Tremont Av (2,5)",Bronx,8.079985977,65.0,0,0.999999000001,8.307705966549513,10.69901079971294,1.995208127,0.693147181,6.108868215,1.9613430490064945,2.9444389791664403
428,"174 St (2,5)",Bronx,8.187803358,65.0,0,0.999999000001,8.342363500380579,10.60475170119802,1.859549481,0.0,6.631657991,2.032305120641875,2.772588722239781
429,"Freeman St (2,5)",Bronx,7.901091914,65.0,0,0.999999000001,8.48714627006394,10.881832472145556,1.999037251,0.693147181,9.273418759,2.3295598564715725,2.70805020110221
430,"Simpson St (2,5)",Bronx,8.411534467,65.33,0,0.999999000001,8.14351740579748,10.93663644805993,2.173529145,1.791759469,8.235732351,2.223079912185389,2.5649493574615367
431,"Intervale Av (2,5)",Bronx,7.524688269,65.67,0,0.999999000001,8.21716859576607,11.061578708855764,2.02871156,2.302585093,11.70800639,2.5422322192400046,2.772588722239781
432,"Prospect Av (2,5)",Bronx,8.321244032,66.0,0,0.999999000001,8.412499120301572,11.165932074607458,1.961356802,2.302585093,11.80694195,2.54998736375622,2.70805020110221
433,"Jackson Av (2,5)",Bronx,8.046646735,66.0,0,0.999999000001,8.458292083496076,11.06513723621554,2.152677627,2.564949357,11.37492245,2.515672041768452,2.772588722239781
434,"3 Av-149 St (2,5)",Bronx,9.361273487,77.67,0,0.999999000001,8.93075873555827,10.98796710962718,2.062324309,2.302585093,11.22603681,2.503567842398664,2.8903717578961645
603,"149 St-Grand Concourse (2,4,5)",Bronx,8.850971161,45.33,2,0.999999000001,8.884610231886873,10.55458803059373,2.187884226,2.564949357,10.18384698,2.414470503352075,3.091042453358316
438,"135 St (2,3)",Manhattan,8.881876914,74.67,0,0.999999000001,8.340933226000878,11.288330861388705,1.938046008,3.761200116,8.594882385,2.2612298714376866,3.218875824868201
439,"125 St (2,3)",Manhattan,9.088854312,75.67,0,1.999996000008,8.723394022000136,11.246965744590764,1.996111216,4.143134726,9.267566804,2.328990073182414,3.367295829986474
440,"116 St (2,3)",Manhattan,8.729059009,75.33,0,1.999996000008,8.573573524852344,11.345393993648909,1.794133476,3.713572067,9.661402439,2.366629970966126,3.367295829986474
441,"110 St-Malcolm X Plaza (2,3)",Manhattan,8.499857632,75.0,0,0.999999000001,8.584851839890053,11.279314824306176,1.467345043,3.555348061,10.76916284,2.465482792149536,3.218875824868201
624,"Chambers St/WTC/Park Place/Cortlandt St (2,3,A,C,E,R,W)",Manhattan,10.71479538,49.67,3,0.999999000001,10.19204424239857,11.114490586783264,1.533412886,4.804021045,27.03799919,3.3335607040569792,3.784189633918261
628,"Fulton St (2,3,4,5,A,C,J,Z)",Manhattan,11.05598252,37.33,3,0.6666662222225186,10.252135365087474,11.066857088419516,1.512338524,4.927253685,28.16416184,3.372940621236152,3.7612001156935615
333,"Wall St (2,3)",Manhattan,9.567390664,74.67,0,0.999999000001,10.115974523661809,10.862569538665166,1.638297754,4.852030264,28.22737393,3.375105733486061,3.737669618283368
334,"Clark St (2,3)",Brooklyn,8.502402673,75.33,0,0.999999000001,9.539716058977092,10.596984671860362,2.029496202,3.784189634,11.77133933,2.547203545515849,2.772588722239781
620,"Borough Hall/Court St (2,3,4,5,R)",Brooklyn,10.01352863,37.0,0,0.6666662222225186,9.664024052354822,10.9572070723135,2.034762207,3.784189634,11.74217086,2.544917032802322,2.833213344056216
336,"Hoyt St (2,3)",Brooklyn,8.645521154,74.0,0,0.999999000001,9.60588981529697,10.942349836798464,2.023403793,3.850147602,11.90101022,2.557305619929338,2.833213344056216
337,"Nevins St (2,3,4,5)",Brooklyn,8.883324171,139.33,0,1.999996000008,9.50651131182387,10.924354492579385,1.986217467,4.304065093,10.37827444,2.4317057862695943,2.833213344056216
617,"Atlantic Av-Barclays Ctr (2,3,4,5,B,D,N,Q,R)",Brooklyn,10.34806268,107.33,1,1.999996000008,8.995040974685022,10.854778565594904,2.106024532,4.234106505,8.477844736,2.2489569418961306,2.833213344056216
339,"Bergen St (2,3)",Brooklyn,8.109169206,78.67,0,0.999999000001,8.411832675758411,10.904137815028022,1.893451176,4.262679877,7.192464616,2.103214782509183,2.9444389791664403
