station_complex_id,station_complex_name,borough,log_avg_ridership,subway_trips_per_hour_am_peak,subway_lines_serving_station,inv_headway,log_jobs_access_network,log_pop_density_0p5mi,landuse_entropy_0p5mi,cultural_count_0p5mi_log1p,log_pct_walked_access_network,log_bus_routes_access_network,min_line_anchor_travel_time_min,median_line_anchor_travel_time_min,n_valid_anchor_lines,log_min_line_anchor_travel_time,travel_time_missing_flag
417,"Nereid Av (2,5)",Bronx,7.545604135,41.33,0,0.666666222,8.038512021,10.35367105,1.809267699,0.693147181,1.704354383,2.079441542,55,55.75,2,4.025351691,0
418,"233 St (2,5)",Bronx,7.866086653,42,2,0.666666222,8.090402297,10.60077615,1.962247908,0.693147181,1.79376243,2.079441542,53.5,54.25,2,3.998200702,0
419,"225 St (2,5)",Bronx,7.553490903,42.33,2,0.999999,7.724004657,10.68976071,1.782420997,0.693147181,1.539217355,2.48490665,51.25,52.38,2,3.956039891,0
420,"219 St (2,5)",Bronx,7.338203115,42,2,0.666666222,7.440146681,10.68322519,1.725185729,1.098612289,1.580811792,2.302585093,49.75,51.12,2,3.926911618,0
421,"Gun Hill Rd (2,5)",Bronx,8.300669237,41.67,0,0.666666222,8.370547611,10.65925736,1.884976077,1.098612289,1.83305768,2.772588722,47.75,49.12,2,3.886705197,0
422,"Burke Av (2,5)",Bronx,7.451137097,41.33,0,0.666666222,7.622174595,10.70864559,1.972000692,0.693147181,1.754356945,2.397895273,46.25,47.62,2,3.855452654,0
423,"Allerton Av (2,5)",Bronx,7.927663761,42,2,0.666666222,7.826443135,10.80307963,1.627446841,1.098612289,1.958759375,2.833213344,44.75,46.12,2,3.823191792,0
424,"Pelham Pkwy (2,5)",Bronx,8.581971195,42.67,0,0.666666222,8.204945165,10.72143752,1.552487721,1.945910149,2.042427328,2.890371758,42.25,43.88,2,3.766997233,0
425,"Bronx Park East (2,5)",Bronx,7.31811939,42.67,0,0.666666222,8.210668031,10.37757658,1.908385811,1.386294361,1.888667144,2.772588722,39,41,2,3.688879454,0
426,"E 180 St (2,5)",Bronx,8.646148142,79.33,0,0.999999,8.096208272,10.50174696,2.129864101,1.386294361,1.930796196,2.772588722,35.5,38,2,3.597312261,0
427,"West Farms Sq-E Tremont Av (2,5)",Bronx,8.079985977,65,0,0.999999,8.307705967,10.6990108,1.995208127,0.693147181,1.961343049,2.944438979,38.5,38.5,1,3.676300672,0
428,"174 St (2,5)",Bronx,8.187803358,65,0,0.999999,8.3423635,10.6047517,1.859549481,0,2.032305121,2.772588722,36.5,36.5,1,3.624340933,0
429,"Freeman St (2,5)",Bronx,7.901091914,65,0,0.999999,8.48714627,10.88183247,1.999037251,0.693147181,2.329559856,2.708050201,33.5,33.5,1,3.540959324,0
430,"Simpson St (2,5)",Bronx,8.411534467,65.33,0,0.999999,8.143517406,10.93663645,2.173529145,1.791759469,2.223079912,2.564949357,31.5,31.5,1,3.481240089,0
431,"Intervale Av (2,5)",Bronx,7.524688269,65.67,0,0.999999,8.217168596,11.06157871,2.02871156,2.302585093,2.542232219,2.772588722,30,30,1,3.433987204,0
432,"Prospect Av (2,5)",Bronx,8.321244032,66,0,0.999999,8.41249912,11.16593207,1.961356802,2.302585093,2.549987364,2.708050201,28.5,28.5,1,3.384390263,0
433,"Jackson Av (2,5)",Bronx,8.046646735,66,0,0.999999,8.458292083,11.06513724,2.152677627,2.564949357,2.515672042,2.772588722,27,27,1,3.33220451,0
434,"3 Av-149 St (2,5)",Bronx,9.361273487,77.67,0,0.999999,8.930758736,10.98796711,2.062324309,2.302585093,2.503567842,2.890371758,23,23.5,2,3.17805383,0
603,"149 St-Grand Concourse (2,4,5)",Bronx,8.850971161,45.33,2,0.999999,8.884610232,10.55458803,2.187884226,2.564949357,2.414470503,3.091042453,21,21.25,3,3.091042453,0
438,"135 St (2,3)",Manhattan,8.881876914,74.67,0,0.999999,8.340933226,11.28833086,1.938046008,3.761200116,2.261229871,3.218875825,16.75,16.88,2,2.876385516,0
439,"125 St (2,3)",Manhattan,9.088854312,75.67,0,1.999996,8.723394022,11.24696574,1.996111216,4.143134726,2.328990073,3.36729583,14.75,14.88,2,2.756840365,0
440,"116 St (2,3)",Manhattan,8.729059009,75.33,0,1.999996,8.573573525,11.34539399,1.794133476,3.713572067,2.366629971,3.36729583,13,13.25,2,2.63905733,0
441,"110 St-Malcolm X Plaza (2,3)",Manhattan,8.499857632,75,0,0.999999,8.58485184,11.27931482,1.467345043,3.555348061,2.465482792,3.218875825,12,12.25,2,2.564949357,0
624,"Chambers St/WTC/Park Place/Cortlandt St (2,3,A,C,E,R,W)",Manhattan,10.71479538,49.67,3,0.999999,10.19204424,11.11449059,1.533412886,4.804021045,3.333560704,3.784189634,9.5,13.5,7,2.351375257,0
628,"Fulton St (2,3,4,5,A,C,J,Z)",Manhattan,11.05598252,37.33,3,0.666666222,10.25213537,11.06685709,1.512338524,4.927253685,3.372940621,3.761200116,0,0,6,0,0
333,"Wall St (2,3)",Manhattan,9.567390664,74.67,0,0.999999,10.11597452,10.86256954,1.638297754,4.852030264,3.375105733,3.737669618,13,13,2,2.63905733,0
334,"Clark St (2,3)",Brooklyn,8.502402673,75.33,0,0.999999,9.539716059,10.59698467,2.029496202,3.784189634,2.547203546,2.772588722,16.5,16.5,2,2.862200881,0
620,"Borough Hall/Court St (2,3,4,5,R)",Brooklyn,10.01352863,37,0,0.666666222,9.664024052,10.95720707,2.034762207,3.784189634,2.544917033,2.833213344,18.5,19.38,6,2.970414466,0
336,"Hoyt St (2,3)",Brooklyn,8.645521154,74,0,0.999999,9.605889815,10.94234984,2.023403793,3.850147602,2.55730562,2.833213344,20,20,2,3.044522438,0
337,"Nevins St (2,3,4,5)",Brooklyn,8.883324171,139.33,0,1.999996,9.506511312,10.92435449,1.986217467,4.304065093,2.431705786,2.833213344,21.5,21.5,4,3.113515309,0
617,"Atlantic Av-Barclays Ctr (2,3,4,5,B,D,N,Q,R)",Brooklyn,10.34806268,107.33,1,1.999996,8.995040975,10.85477857,2.106024532,4.234106505,2.248956942,2.833213344,19,23,10,2.995732274,0
339,"Bergen St (2,3)",Brooklyn,8.109169206,78.67,0,0.999999,8.411832676,10.90413782,1.893451176,4.262679877,2.103214783,2.944438979,24.5,24.5,2,3.238678452,0
340,"Grand Army Plaza (2,3)",Brooklyn,8.587547091,78.33,0,0.999999,8.273336599,10.89686895,1.909906153,3.258096538,2.02041208,2.772588722,26.5,26.5,2,3.314186005,0
341,"Eastern Pkwy-Brooklyn Museum (2,3)",Brooklyn,8.126198211,78.33,0,0.999999,7.539027056,10.79415274,1.848232126,2.890371758,1.784982468,2.772588722,28,28,2,3.36729583,0
626,"Franklin Av-Medgar Evers College/Botanic Garden (2,3,4,5,S)",Brooklyn,9.281709956,36,4,0.999999,7.454141078,10.98987543,1.922099661,3.044522438,1.729658851,2.63905733,0,0,4,0,0
353,"President St-Medgar Evers College (2,5)",Brooklyn,7.843955612,56,0,0.999999,7.710653324,11.09813703,1.717222038,2.772588722,2.135865399,2.772588722,32,32.75,2,3.496507561,0
354,"Sterling St (2,5)",Brooklyn,8.311063014,56,0,0.999999,7.970394907,11.01552597,1.693133113,2.772588722,2.24789229,2.564949357,33.5,34.25,2,3.540959324,0
355,"Winthrop St (2,5)",Brooklyn,8.626403837,57,0,0.999999,9.412627941,11.02329039,1.783462724,2.397895273,2.12177812,2.48490665,35.5,36.25,2,3.597312261,0
356,"Church Av (2,5)",Brooklyn,8.740713759,57,0,0.999999,8.603554357,10.93013828,2.080210391,2.079441542,1.980133008,2.708050201,37,38,2,3.63758616,0
357,"Beverly Rd (2,5)",Brooklyn,8.058541144,56.33,0,0.999999,7.850493181,10.87373603,1.908368555,1.791759469,1.863413426,2.772588722,39.5,40.5,2,3.701301974,0
358,"Newkirk Av-Little Haiti (2,5)",Brooklyn,8.481353812,56.33,0,0.999999,7.669961995,11.0050455,1.482675414,1.609437912,1.676901977,2.833213344,41,42,2,3.737669618,0
